"aq_id","CC","CountryName","countries","code","name","IGRAC.region","Comment"
295,"LSO","Lesotho","Lesotho; South Africa","AF001","Karoo Sedimentary Aquifer","Africa","Original IGRAC entry"
295,"ZAF","South Africa","Lesotho; South Africa","AF001","Karoo Sedimentary Aquifer","Africa","Original IGRAC entry"
264,"NAM","Namibia","Namibia; South Africa","AF002","Coastal Sedimentary Basin V","Africa","Original IGRAC entry"
264,"ZAF","South Africa","Namibia; South Africa","AF002","Coastal Sedimentary Basin V","Africa","Original IGRAC entry"
273,"MOZ","Mozambique","Mozambique; South Africa","AF003","Coastal Sedimentary Basin VI","Africa","Original IGRAC entry"
273,"ZAF","South Africa","Mozambique; South Africa","AF003","Coastal Sedimentary Basin VI","Africa","Original IGRAC entry"
276,"MOZ","Mozambique","Eswatini; Mozambique; South Africa","AF004","Rhyolite-Breccia Aquifer","Africa","Original IGRAC entry"
276,"SWZ","Swaziland","Eswatini; Mozambique; South Africa","AF004","Rhyolite-Breccia Aquifer","Africa","Added to IGRAC"
276,"ZAF","South Africa","Eswatini; Mozambique; South Africa","AF004","Rhyolite-Breccia Aquifer","Africa","Original IGRAC entry"
50,"BWA","Botswana","Botswana; Namibia; South Africa","AF005","Stampriet Transboundary Aquifer System","Africa","Original IGRAC entry"
50,"NAM","Namibia","Botswana; Namibia; South Africa","AF005","Stampriet Transboundary Aquifer System","Africa","Original IGRAC entry"
50,"ZAF","South Africa","Botswana; Namibia; South Africa","AF005","Stampriet Transboundary Aquifer System","Africa","Original IGRAC entry"
43,"BWA","Botswana","Botswana; South Africa","AF006","Khakhea-Bray Dolomite Transboundary Aquifer","Africa","Original IGRAC entry"
43,"ZAF","South Africa","Botswana; South Africa","AF006","Khakhea-Bray Dolomite Transboundary Aquifer","Africa","Original IGRAC entry"
414,"BWA","Botswana","Botswana; South Africa","AF007","Ramotswa","Africa","Original IGRAC entry"
414,"ZAF","South Africa","Botswana; South Africa","AF007","Ramotswa","Africa","Original IGRAC entry"
