aq_code,CODE_2021,region_cod,twap_regio,aquifer,Confinement.description.,Lithology,Tr,S
10N,N010,10N_MEX,Americas,Sonoyta-Papagos,1. Whole aquifer unconfined,Sediment - Sand,0.037986111,0.22
11N,N011,11N_MEX,Americas,Nogales,1. Whole aquifer unconfined,Sediment - Sand,0.002800926,0.22
12C,C012,12C_GTM,Americas,Delta del Rio Motagua,8. No data (assumed unconfined),Sediment - Sand,0,0.22
12N,N012,12N_MEX,Americas,Santa cruz,1. Whole aquifer unconfined,Sediment - Sand,0.021550926,0.22
12S,S012,12S_ECU,Americas,Puyango-Tumbes-catamayo-chira,8. No data (assumed unconfined),Sediment - Sand,0,0.22
13N,N013,13N_MEX,Americas,San Pedro,1. Whole aquifer unconfined,Sediment - Gravel,0.005960185,0.19
13S,S013,13S_VEN,Americas,Amazonas,"4. Aquifer mostly unconfined, but some parts confined",Sedimentary rocks - Sandstone,0.005787037,0.10533528
14C,C014,14C_SLV,Americas,Esquipulas-Ocotepeque-citala,"4. Aquifer mostly unconfined, but some parts confined",Sediment - Silt - Clay,0.000289352,0.136659255
14N,N014,14N_MEX,Americas,conejos Medanos-Bolson de la Mesilla,"4. Aquifer mostly unconfined, but some parts confined",Sediment - Sand,0.002800926,0.1755156
14S,S014,14S_BOL,Americas,Titicaca,"4. Aquifer mostly unconfined, but some parts confined",Sediment - Silt - Clay,0.0022,0.13780797
15N,N015,15N_MEX,Americas,Bolson del Hueco-Valle de Juarez,1. Whole aquifer unconfined,Sediment - Sand,0.008796296,0.22
15S,S015,15S_PRY,Americas,Pantanal,1. Whole aquifer unconfined,Sedimentary rocks - Sandstone,0.00066,0.14
16N,N016,16N_MEX,Americas,Edwards-Trinity-El Burro,1. Whole aquifer unconfined,Sedimentary rocks - Limestone,0.001145833,0.14
16S,S016,16S_PRY,Americas,Agua Dulce,1. Whole aquifer unconfined,Sedimentary rocks - Sandstone,0,0.14
17C,C017,17C_NIC,Americas,Estero Real-Rio Negro,1. Whole aquifer unconfined,Sediment - Sand,0.000636574,0.22
17N,N017,17N_MEX,Americas,cuenca Baja del Rio Bravo-Grande,3. Whole aquifer semi-confined,Sediment - Sand,0.006273148,0.1152578
17S,S017,17S_BOL,Americas,Ollague-Pastos Grandes,8. No data (assumed unconfined),Sediment - Sand,0,0.22
18C,C018,18C_CRI,Americas,Sixaola / Salinas aquifer,8. No data (assumed unconfined),Sediment - Sand,0,0.22
18N,N018,18N_MEX,Americas,Los Mimbres-Las Palmas,1. Whole aquifer unconfined,Sediment - Sand,0.002152778,0.22
19N,N019,19N_CAN,Americas,Judith River,8. No data (assumed unconfined),Sediment - Sand,0,0.22
19S,S019,19S_BRA,Americas,Aquidauana-Aquidaban,3. Whole aquifer semi-confined,Sedimentary rocks - Sandstone,0.0018,0.07050292
1C,C001,1C_MEX,Americas,Soconusco-Suchiate/coatan,1. Whole aquifer unconfined,Sediment - Sand,0.000787037,0.22
1CB,CB001,1CB_DOM,Americas,Masacre,2. Whole aquifer confined,Sedimentary rocks - Limestone,0,0.14
20N,N020,20N_CAN,Americas,Milk River,1. Whole aquifer unconfined,Sediment - Sand,8.10E-05,0.22
20S,S020,20S_BRA,Americas,caiua-Bauru-Acaray Aquifer,"4. Aquifer mostly unconfined, but some parts confined",Sedimentary rocks - Sandstone,0.000810185,0.10512573
21S,S021,21S_URY,Americas,Sistema Acuifero Guarani,"6. Aquifer mostly confined, but some parts unconfined",Sedimentary rocks - Sandstone,0.001232639,0.036552766
22S,S022,22S_PRY,Americas,Serra Geral,"7. Aquifer mostly semi-confined, but some parts unconfined",Crystalline rocks - Basalt,0.000960648,0.048002743
23S,S023,23S_URY,Americas,Litoraneo-chuy,"7. Aquifer mostly semi-confined, but some parts unconfined",Sediment - Sand,0.00462963,0.132
24S,S024,24S_URY,Americas,Permo-carbonifero,"4. Aquifer mostly unconfined, but some parts confined",Sedimentary rocks - Sandstone,0.001168981,0.105033528
25S,S025,25S_ARG,Americas,Litoral-cretacico,2. Whole aquifer confined,Sedimentary rocks - Sandstone,0.000486111,0.000234696
26S,S026,26S_ARG,Americas,Salto-Salto chico,3. Whole aquifer semi-confined,Sedimentary rocks - Sandstone,1.45E-05,0.070134112
27S,S027,27S_ARG,Americas,Punenos,"7. Aquifer mostly semi-confined, but some parts unconfined",Sediment - Sand,0.004733796,0.132420624
28S,S028,28S_ARG,Americas,Yrenda-Toba-Tarijeno,"4. Aquifer mostly unconfined, but some parts confined",Sediment - Sand,0.001331019,0.16955676
29S,S029,29S_ARG,Americas,El condor-canadon del condor,"4. Aquifer mostly unconfined, but some parts confined",Sediment - Sand,0.001736111,0.165
2C,C002,2C_MEX,Americas,chicomuselo-cuilco/Selegua,1. Whole aquifer unconfined,Sediment - Sand,0.001,0.22
2CB,CB002,2CB_DOM,Americas,Artibonito,"4. Aquifer mostly unconfined, but some parts confined",Sedimentary rocks - Sandstone,0,0.105
2N,N002,2N_CAN,Americas,Okanagan-Osoyoos,8. No data (assumed unconfined),Sediment - Sand,0,0.22
2S,S002,2S_COL,Americas,Tachira Pamplonita,"4. Aquifer mostly unconfined, but some parts confined",Sediment - Sand,0.00462963,0.16578867
3C,C003,3C_MEX,Americas,Ocosingo-Usumacinta-Pocom-Ixcan,1. Whole aquifer unconfined,Sediment - Sand,0.00115,0.22
3S,S003,3S_VEN,Americas,La Guajira,"4. Aquifer mostly unconfined, but some parts confined",Sediment - Sand,0.002314815,0.166156716
4C,C004,4C_MEX,Americas,Marquez de comillas-chixoy/Xaclbal,1. Whole aquifer unconfined,Sediment - Sand,0.00115,0.22
4N,N004,4N_CAN,Americas,Poplar,8. No data (assumed unconfined),Sediment - Sand,0,0.22
4S,S004,4S_VEN,Americas,Grupo Roraima,1. Whole aquifer unconfined,Sedimentary rocks - Sandstone,0,0.14
5C,C005,5C_MEX,Americas,Boca del cerro-San Pedro,1. Whole aquifer unconfined,Sediment - Sand,0.001,0.22
5N,N005,5N_CAN,Americas,Estevan,8. No data (assumed unconfined),Sediment - Sand,0,0.22
5S,S005,5S_BRA,Americas,Boa Vista-Serra do Tucano-North Savanna,"4. Aquifer mostly unconfined, but some parts confined",Sedimentary rocks - Sandstone,0,0.105
6C,C006,6C_MEX,Americas,Trinitaria-Nenton,1. Whole aquifer unconfined,Sediment - Sand,0.001,0.22
6N,N006,6N_CAN,Americas,Northern Great Plains,8. No data (assumed unconfined),Sediment - Sand,0,0.22
6S,S006,6S_GUF,Americas,Zanderij,"6. Aquifer mostly confined, but some parts unconfined",Sedimentary rocks - Sandstone,0.000405,0.035169736
7C,C007,7C_MEX,Americas,Peninsula de Yucatan-candelaria-Hondo,1. Whole aquifer unconfined,Sediment - Sand,0.001,0.22
7N,N007,7N_CAN,Americas,chateauguay,3. Whole aquifer semi-confined,Sediment - Sand,0.001100116,0.111069086
7S,S007,7S_GUY,Americas,coesewijne,8. No data (assumed unconfined),Sediment - Sand,0,0.22
8C,C008,8C_GTM,Americas,Mopan-Belice,1. Whole aquifer unconfined,Sediment - Sand,0.1,0.22
8N,N008,8N_MEX,Americas,San Diego-Tijuana,1. Whole aquifer unconfined,Sediment - Sand,0.018611111,0.22
8S,S008,8S_GUY,Americas,A-Sand/B-Sand,"6. Aquifer mostly confined, but some parts unconfined",Sediment - Gravel,1.71,0.050496946
9N,N009,9N_MEX,Americas,cuenca Baja del Rio colorado,1. Whole aquifer unconfined,Sediment - Sand,0.07400463,0.22
9S,S009,9S_BRA,Americas,costeiro,1. Whole aquifer unconfined,Sedimentary rocks - Sandstone,0,0.14
