"unit_id","Aquifer","shapeGroup","q_min_cms","has_crossing_river","n_crossing_rivers","n_meander_rivers","max_q_crossing_cms","side","min_depth_km","n_border_points","n_reaches_window"
"Abbotsford-Sumas Aquifer_CAN","Abbotsford-Sumas Aquifer","CAN",300,FALSE,0,0,NA,NA,NA,NA,0
"Abbotsford-Sumas Aquifer_USA","Abbotsford-Sumas Aquifer","USA",300,FALSE,0,0,NA,NA,NA,NA,0
"Alsatian Aquifer and Upper Rhine Valley_CHE","Alsatian Aquifer and Upper Rhine Valley","CHE",300,FALSE,0,0,NA,NA,NA,NA,77
"Alsatian Aquifer and Upper Rhine Valley_DEU","Alsatian Aquifer and Upper Rhine Valley","DEU",300,FALSE,0,1,NA,NA,NA,NA,77
"Alsatian Aquifer and Upper Rhine Valley_FRA","Alsatian Aquifer and Upper Rhine Valley","FRA",300,FALSE,0,1,NA,NA,NA,NA,77
"Avra Valley_MEX","Avra Valley","MEX",300,FALSE,0,0,NA,NA,NA,NA,0
"Avra Valley_USA","Avra Valley","USA",300,FALSE,0,0,NA,NA,NA,NA,0
"Bajo Rio Bravo_MEX","Bajo Rio Bravo","MEX",300,FALSE,0,0,NA,NA,NA,NA,0
"Bajo Rio Bravo_USA","Bajo Rio Bravo","USA",300,FALSE,0,0,NA,NA,NA,NA,0
"Bari Doab_IND","Bari Doab","IND",300,TRUE,1,0,2946.65981188361,"upstream",62.2490122174244,7,261
"Bari Doab_PAK","Bari Doab","PAK",300,TRUE,1,0,2946.65981188361,"downstream",60.8726864328045,7,261
"Barind Tract and Central Floodplains_BGD","Barind Tract and Central Floodplains","BGD",300,TRUE,1,0,34830.5233461089,"upstream",44.8991163522721,5,240
"Barind Tract and Central Floodplains_IND","Barind Tract and Central Floodplains","IND",300,TRUE,1,0,34830.5233461089,"upstream",44.5040707316449,5,240
"Central Karoo Basin_LSO","Central Karoo Basin","LSO",300,FALSE,0,0,NA,NA,NA,NA,0
"Central Karoo Basin_ZAF","Central Karoo Basin","ZAF",300,FALSE,0,0,NA,NA,NA,NA,0
