"","Aquifer","Country","area_km2","nWells","beta_AveDepletion","se_AveDepletion","p_AveDepletion","beta_distTrend","se_distTrend","p_distTrend","lat_c","lon_c","urbkHaKm2","CropSuitIndex","probBorderRiver","RDS_mainDist","SoitTerrainSuit","prec_mm","pet_mm","dist_to_LB_km","depletion_m_yr","TransboundaryAquifer"
"1","Abadeh Eghlid Basin","IRN",1612.50332177785,32,589.09466871746,105.774499605406,4.19764533488867e-06,6.6333286297339,9.32654197202142,0.482434749877544,31.1438381063075,52.6297258668853,0.00202481095225866,2733.40566608017,1,1.06912491599185,3.85768948733981,175.702912242598,1283.58389142248,485.065434408785,0.45638462,FALSE
"2","Abadeh Tashk Basin","IRN",652.967809989727,27,517.960208882894,69.1858120861433,5.99619974061886e-08,-4.83861662915872,5.75501539343211,0.408449334858813,29.7013879488495,53.8954771541456,0.000803625878093257,7965.28514455592,0,0.147453461390087,2.56686329534391,151.278605735069,1481.01678534121,520.582248930165,0.56711806,FALSE
"3","Abarkooh Plain","IRN",1665.71460212153,43,646.394783046126,67.1523858963837,3.45973848100926e-12,-7.24180595678006,5.97536950379863,0.23247256927044,31.0799967320995,53.2695722867352,0.00048163745084028,3247.61639673466,1,3.75018869562575,3.14998883248118,136.056923913805,1480.80507242241,552.504434060195,0.547,FALSE
"4","Abbas -e Sharghi Basin","IRN",385.348081756448,28,-821.974190925904,95.0773544179991,2.92500115813786e-09,59.3555187827871,24.0774750988189,0.0206146799341664,32.3898166230556,47.837566999968,0,6645.8270612854,0,3.23801140867097,2.41996706746025,290.853045669268,1863.8259241616,37.0378915175986,-0.83633668,FALSE
"5","Abbotsford-Sumas Aquifer","CAN",528.548909559238,6,-27.8921213952347,7.85741584011784,0.0163912910092309,-1.57879119148835,4.6228607321593,0.74990043683398,48.972360506678,-122.371295496413,0.00567192915146784,6392.28021094073,0,0,2.49675569272644,1442.1990636277,649.424320558619,4.93062687550727,-0.02417188,TRUE
"6","Abbotsford-Sumas Aquifer","USA",528.548909559238,9,-32.808736346492,14.0936691758627,0.0483193855088838,2.35290985613592,2.6816640835193,0.409367108886613,48.972360506678,-122.371295496413,0.00567192915146784,6392.28021094073,0,0,2.49675569272644,1442.1990636277,649.424320558619,10.8299758668749,-0.02417188,TRUE
"7","Abdan-Dayer Coastal Plain","IRN",446.712689732997,48,226.225834834129,22.2114625023103,1.76597731584668e-13,-3.26535789318751,1.51592870495992,0.0365109002832194,27.9747156047232,51.8638412111811,0.00193326581190753,4294.48052621397,0,5.7646419898617,3.45113174695299,209.876762138618,1788.93906570053,388.674745294681,0.21948864,FALSE
"8","Abhar Plain","IRN",1153.32896581023,36,1495.59044088452,93.1694182231538,1.02854891762163e-17,-4.37319346641604,4.35170774769081,0.322025865986106,36.2263010983385,49.1471057697618,0.00292285256352348,4856.27299355595,0,6.87218751847671,2.1918543216771,756.29404898819,1019.38186550308,307.882534372243,1.42210714,FALSE
"9","Abrego Aquifer","MEX",410.992139350633,16,10.4079935688627,396.30190053371,0.979393949297209,93.8301932620416,278.840578901664,0.741483678997398,23.2589435295695,-103.294963423892,0,5575.87147944318,1,0.0172882062906793,1.9091982886091,469.377642413568,1295.18985076633,606.580200192922,0.17465278,FALSE
"10","Actopan Aquifer","MEX",502.205950175241,30,-60.9179442792321,31.9737337187554,0.0667065013727651,-16.8904624757839,7.70969175249911,0.0369520065854587,19.4326121487346,-96.436150760006,0.00398634471726245,6742.24015377603,1,0.00170442212894618,2.38324134433772,967.058636929988,1235.71200026017,612.411678925738,-0.0315,FALSE
"11","Agua Verde Aquifer","CHL",933.176350322745,10,257.879761070167,154.818481552781,0.130128278564649,18.1665110002015,10.6279160775173,0.125765302974095,-25.3916979789868,-69.697804594988,0,-1,0,4.96544557793679,2.67369928726512,30.5478275755257,1566.41364300035,123.249272662782,0.1535,FALSE
"12","Aguadilla-Hatillo Region","USA",599.424368721795,6,9.78862496324167,101.780144240505,0.927118027193525,1.72757151874395,7.36537231010243,0.826072666362697,18.4362246606114,-66.9362374877926,0.0356578236258994,9398.06859693719,0,0.0199328053945221,2.35624674906497,1978.66444595507,1255.73719875851,424.971010922636,-0.02374958,FALSE
"13","Aguanaval Aquifer","MEX",1496.75357902251,22,589.62816235703,174.843622367687,0.00287908236339343,2.11794364992656,7.057427973922,0.7671968219279,23.3085211320122,-103.017620021578,0,7323.92724063824,1,0.00314080516939637,1.62042237456628,414.984636500341,1320.06407576867,579.057588148317,0.42,FALSE
"14","Aguascalientes Valley","MEX",1204.13425054141,20,429.191053497812,179.101927071961,0.0270092279018108,-13.3914286940506,6.91046235144563,0.0684914967830735,22.0125475445735,-102.295338008402,0.0162364963473916,6576.48824084203,1,0,2.8064658042782,505.51747611721,1272.73248345893,643.66568920293,0.393125,FALSE
"15","Aguilas Basin","ESP",157.947937583958,3,660.76390456124,636.745698271812,0.408402691784194,122.575221356929,565.368542338749,NA,37.4479190243231,-1.57989777053,0.00715457657627193,5631.1759069804,0,0,2.64089674982293,315.241390793326,1144.82015847862,331.573316727766,0.17083333,FALSE
"16","Ahar-Varzeghan Basin","IRN",1638.26573706095,37,16.2154576336205,18.0265241306514,0.374346568964519,-0.0514558238158903,1.02635573782136,0.960300237535968,38.5167007792034,46.8967585978223,0.00104294371646191,6442.11830266192,1,6.16486438751234,4.22876084526733,473.913062882119,853.813465748878,64.2201336021025,0,FALSE
"17","Ahmadi Basin","IRN",60.781269150654,9,205.506175064458,49.5585056180137,0.00322338422500749,5.40328312961572,24.0168196987491,0.82842211277621,27.9516212598019,56.6627071193257,0,2662.20615034168,0,0.0665634768410804,5.11785307517084,150.843989410907,1555.51200990543,241.934514496395,0.18,FALSE
"18","Alabama Coastal Lowlands","USA",21914.4143495689,2,25.5016004666686,77.733098826247,0.798189847751446,-1.67179123904911,NA,NA,31.0250746174238,-87.7818013016886,0.00304200893447476,7010.82657487776,1,5.75701152920456,2.6687978242409,1641.61460431689,1084.65935539506,1225.64341486983,0.0255016,FALSE
"19","Albuquerque Basin","USA",7057.01797187186,247,-64.2661607470146,22.6344418407165,0.00489905153905593,0.589311800761022,1.03280016375298,0.568796370998916,34.9683176058211,-106.708514766421,0.00665065941717176,2938.66955392121,0.311740890688259,16.7951917857552,2.42807619153206,241.975904447936,1329.89994843662,425.08668206476,-0.02489167,FALSE
"20","Aledo Aquifer","ESP",51.3387862149847,1,1804.00002002716,NA,NA,NA,NA,NA,37.8025556073196,-1.58305412461738,0,6558.69550548259,0,0,4.4677069526449,407.80328589518,1112.72440682886,376.366424677291,1.804,FALSE
"21","Aleshtar Plain","IRN",238.49352985369,21,91.6443265151999,44.3219663642766,0.0518522105864452,-5.92621113654525,18.5720354880687,0.753137326478177,33.8641760608135,48.2030327829171,0.00460871479228608,6170.23145849813,0,1.50924484428612,1.3588554594801,549.23241787265,1253.45665921097,206.457389602011,0.00946429,FALSE
"22","Aliabad Plain","IRN",2055.76696865187,45,1442.02569294918,185.750160313385,8.84614310932852e-10,-26.2080649104436,15.3298412313045,0.0945461509168493,34.8967118341424,50.5057207219215,0.0023849439685314,4273.90774029283,0,6.81843901094283,3.13262840256454,238.690562942242,1414.99050991144,475.33152993407,1.2125,FALSE
"23","Allah Marvdasht Basin","IRN",896.160796968997,28,319.870589643954,105.21569458197,0.00520602060254753,-10.9646868317446,4.99822208547468,0.0373922635815516,27.5819602156666,53.2148788460513,0.000785182225801705,4317.37210662041,0,1.23027180833569,2.34546507035491,195.359660466889,1755.12973702651,372.480088782597,0.117,FALSE
"24","Allier Basin","FRA",4567.65263995519,35,3.38333103024436,26.2403392809609,0.89816780584608,-2.36101201968269,1.51077655730362,0.127644447304471,46.0577486425938,3.24742445128835,0.00439020359750259,8928.87277405425,0,0,2.30858441918228,703.96333285549,755.416834625608,301.668455579655,-0.001,FALSE
"25","Almanzora Basin","ESP",421.886713781742,2,179.999993182719,296.984837508954,0.653114462321642,-12.7556578762171,NA,NA,37.3129606480491,-1.82881285204753,0.00251298742850976,5579.14033119816,0,0,2.81433568497801,272.52680743985,1123.85478169242,302.480419320693,0.18,FALSE
