"","b_0","se_0","p_0","nm_0","st0","tau2_CC_0","b_1","se_1","p_1","nm_1","st1","tau2_CC_1","n","k_cluster","looaqf","k","iter"
"1",36.3492703411906,16.7674196951619,0.0301700123898417,"intrcpt","",4663.25377811383,0.0819065222228793,0.42547575759904,0.847346078289435,"intrcpt","",2.95717686508904,680,18,"Lom- Pleven Depression",1,1
"2",9.46905334961673,1.77191749506759,9.0938456108377e-08,"TBTRUE","***",4663.25377811383,-0.113526008135776,0.0617318848972602,0.0659126323904635,"TBTRUE","*",2.95717686508904,680,18,"Lom- Pleven Depression",1,1
"3",78.5483375762919,57.8151171610956,0.174269430102506,"intrcpt","",58957.6548637685,-0.0203861712570991,0.096759683840228,0.833130198780696,"intrcpt","",0.0923157411458932,675,18,"Western Bengal Basin; Southern St. Lawrence Lowlands; Lom- Pleven Depression; Trans Gangetic Plain; Barind Tract and Central Floodplains",5,1
"4",7.79005938199231,1.86480924424852,2.94856583077194e-05,"TBTRUE","***",58957.6548637685,-0.201364345978937,0.0660449103477371,0.00229680703412722,"TBTRUE","***",0.0923157411458932,675,18,"Western Bengal Basin; Southern St. Lawrence Lowlands; Lom- Pleven Depression; Trans Gangetic Plain; Barind Tract and Central Floodplains",5,1
"5",82.6708259503591,60.9010503731006,0.174634645865298,"intrcpt","",69515.5601463148,0.0209214199357041,0.569923970084471,0.970716919311496,"intrcpt","",5.73527075884845,671,19,"Chaj Doab; Upper Gangetic Plain; Western Carrizo-Wilcox; Transboundary Odanah Shale; Alsatian Aquifer and Upper Rhine Valley; Trans Gangetic Plain; Southern St. Lawrence Lowlands; Eastern Mekong Delta; Sylhet Basin; West Jutland Quaternary and Tertiary Sand Aquifer System",10,1
"6",10.9965397438535,1.96434886656235,2.1676569326931e-08,"TBTRUE","***",69515.5601463148,-0.100297493663037,0.0736029682334519,0.172982523053369,"TBTRUE","",5.73527075884845,671,19,"Chaj Doab; Upper Gangetic Plain; Western Carrizo-Wilcox; Transboundary Odanah Shale; Alsatian Aquifer and Upper Rhine Valley; Trans Gangetic Plain; Southern St. Lawrence Lowlands; Eastern Mekong Delta; Sylhet Basin; West Jutland Quaternary and Tertiary Sand Aquifer System",10,1
"7",49.642058377887,25.1589230618388,0.0484797004432999,"intrcpt","",11315.5422186368,0.491017555411404,0.499845876773762,0.325933402503018,"intrcpt","",4.26121828212819,663,19,"Rio Grande Delta; Sylhet Basin; Alsatian Aquifer and Upper Rhine Valley; Eastside Middle Indus Plain; Southeastern Bengal Basin; Northern Piedmont and Tista Fan; Transboundary Odanah Shale; Tijuana-San Diego Basin; Yuma Basin; Middle Gangetic Plain; Williston Basin; Southern Odanah Shale; Edwards Plateau; San Pedro Basin; Western Carrizo-Wilcox",15,1
"8",12.2304886717663,3.38719642667008,0.00030525405494066,"TBTRUE","***",11315.5422186368,-0.341277077579277,0.0828646166544242,3.81363464467688e-05,"TBTRUE","***",4.26121828212819,663,19,"Rio Grande Delta; Sylhet Basin; Alsatian Aquifer and Upper Rhine Valley; Eastside Middle Indus Plain; Southeastern Bengal Basin; Northern Piedmont and Tista Fan; Transboundary Odanah Shale; Tijuana-San Diego Basin; Yuma Basin; Middle Gangetic Plain; Williston Basin; Southern Odanah Shale; Edwards Plateau; San Pedro Basin; Western Carrizo-Wilcox",15,1
"9",60.1674095323044,39.1421144103546,0.124255903388062,"intrcpt","",27933.3975078546,-0.0551261802154971,0.177895101533631,0.756652015082685,"intrcpt","",0.407173385823962,659,19,"Madhupur Tract and Eastern Floodplains; Tijuana-San Diego Basin; Chaj Doab; Mexicali Valley; Valle de Juarez and Hueco Bolson; Rechna Doab; Sandlands Aquifer; Southern St. Lawrence Lowlands; Southern Odanah Shale; Barind Tract and Central Floodplains; Upper Gangetic Plain; Sylhet Basin; Eastside Middle Indus Plain; Stockton Plateau; Northern Piedmont and Tista Fan; Northern Piedmont and Tista Fan; Southeastern Bengal Basin; Mons Sedimentary Basin; Transboundary Odanah Shale; Williston Basin",20,1
"10",24.1815791413368,3.60009343728862,1.85591819819657e-11,"TBTRUE","***",27933.3975078546,-0.0244135352326633,0.101612356908908,0.810127555169388,"TBTRUE","",0.407173385823962,659,19,"Madhupur Tract and Eastern Floodplains; Tijuana-San Diego Basin; Chaj Doab; Mexicali Valley; Valle de Juarez and Hueco Bolson; Rechna Doab; Sandlands Aquifer; Southern St. Lawrence Lowlands; Southern Odanah Shale; Barind Tract and Central Floodplains; Upper Gangetic Plain; Sylhet Basin; Eastside Middle Indus Plain; Stockton Plateau; Northern Piedmont and Tista Fan; Northern Piedmont and Tista Fan; Southeastern Bengal Basin; Mons Sedimentary Basin; Transboundary Odanah Shale; Williston Basin",20,1
