"","r","b_0","se_0","p_0","nm_0","st0","tau2_CC_0","b_1","se_1","p_1","nm_1","st1","tau2_CC_1","n","k_cluster","ratio"
"1",1,17.9639939458736,19.1118756116162,0.347248939770204,"intrcpt","",4965.7417677476,0.418214797052165,0.362922788121174,0.249176461050346,"intrcpt","",1.35184508840864,88,16,1
"2",1,22.3196533800879,2.38506768473456,8.11990199519563e-21,"TBTRUE","***",4965.7417677476,-0.354079711913298,0.100032644170122,0.000400670710084145,"TBTRUE","***",1.35184508840864,88,16,1
"3",2,27.4831747942406,18.8103737960113,0.143997662492059,"intrcpt","",5163.29447583351,0.0513118337955167,0.328503502146131,0.875876368261555,"intrcpt","",1.21026552299554,132,16,2
"4",2,18.0067662003781,2.19440325154666,2.29119551850947e-16,"TBTRUE","***",5163.29447583351,-0.186124701384139,0.0795853944062539,0.0193520457760917,"TBTRUE","**",1.21026552299554,132,16,2
"5",3,26.6261975979923,17.3388261919375,0.124626662086348,"intrcpt","",4387.1522962996,-0.130143173918323,0.270238630752562,0.630099987535495,"intrcpt","",0.785988333065033,176,16,3
"6",3,12.7119488665568,2.05628220801733,6.3292135429669e-10,"TBTRUE","***",4387.1522962996,-0.162310161954563,0.0750640879506203,0.0305959991410378,"TBTRUE","**",0.785988333065033,176,16,3
"7",4,41.8547901334748,13.2371515069888,0.0015673359058575,"intrcpt","***",2761.57991366597,-0.158953842507481,0.228196827793004,0.486075287636734,"intrcpt","",0.603009363626876,220,17,4
"8",4,5.71279830917701,1.9373554048031,0.00319050474974459,"TBTRUE","***",2761.57991366597,-0.138593721264348,0.0702045955833919,0.0483657922439143,"TBTRUE","**",0.603009363626876,220,17,4
"9",5,32.669259023736,14.2625685042024,0.0219889147796465,"intrcpt","**",3364.63341975013,-0.181881731989485,0.142687860640815,0.202421610957873,"intrcpt","",0.183763463089436,264,18,5
"10",5,6.90977433189316,1.89447916386866,0.000264988415442815,"TBTRUE","***",3364.63341975013,-0.0598841639313828,0.0664023934662977,0.367143232770054,"TBTRUE","",0.183763463089436,264,18,5
"11",6,33.1463171281975,15.8783776764154,0.0368418024692232,"intrcpt","**",4254.1573805527,-0.109520743698282,0.120986372535419,0.365342458636503,"intrcpt","",0.123463585884513,308,19,6
"12",6,10.2074958018804,1.8741887697908,5.14127201116428e-08,"TBTRUE","***",4254.1573805527,-0.166812300430938,0.0613033624661341,0.00650659719178709,"TBTRUE","***",0.123463585884513,308,19,6
"13",7,32.9516049225353,16.3659719242446,0.0440702723658421,"intrcpt","**",4545.81185087866,-0.119962350213985,0.113291765147335,0.289654570732025,"intrcpt","",0.112848128536996,352,19,7
"14",7,10.1320334245124,1.86573165835028,5.61664009940688e-08,"TBTRUE","***",4545.81185087866,-0.17247953856824,0.0607965631711622,0.00455403419753954,"TBTRUE","***",0.112848128536996,352,19,7
"15",8,30.8340180939289,15.7037075206003,0.0495896688213639,"intrcpt","**",4166.28412616341,-0.0776846829063943,0.0903040090195836,0.389647225485531,"intrcpt","",0.06594470977823,396,19,8
"16",8,11.0801308660123,1.79268688310133,6.38019689341676e-10,"TBTRUE","***",4166.28412616341,-0.181328376283064,0.0592451062482246,0.00220859070468416,"TBTRUE","***",0.06594470977823,396,19,8
"17",9,31.8653694871963,15.4818410653717,0.0395669460991337,"intrcpt","**",4044.958278458,-0.0665030006711502,0.0954908749516311,0.486157675414208,"intrcpt","",0.0801933377094521,440,19,9
"18",9,10.331518652,1.7654088960043,4.85124810135493e-09,"TBTRUE","***",4044.958278458,-0.160447722087606,0.0583839548328897,0.00599330325894047,"TBTRUE","***",0.0801933377094521,440,19,9
"19",10,34.274616888409,16.1420728186566,0.0337279234727616,"intrcpt","**",4424.07099670279,-0.0445496607247895,0.06777314409683,0.510965526352192,"intrcpt","",0.0335138176396777,484,19,10
"20",10,9.35720211400026,1.75512338621171,9.74776630472245e-08,"TBTRUE","***",4424.07099670279,-0.169909450927059,0.0564100336129616,0.00259495774924213,"TBTRUE","***",0.0335138176396777,484,19,10
