family,specification,estimand,h2_unit,h2_scale,table_only,h2_estimate,h2_ci90_low,h2_ci90_high,h2_p_one,h2_p_cr2,h2_p_wild,h2_wcb_lo,h2_wcb_hi,h2_wcb_bound_one,h2_wcb_bound_one_alt,h2_baseline,h2_baseline_p,n_treated,n_control,n_countries,uncertainty_estimator_matched,ratio_source,status,h1_estimate,h1_ci90_low,h1_ci90_high,h1_p_one,h1_wcb_lo,h1_wcb_hi,h1_wcb_bound_one,h1_wcb_bound_one_alt,uncertainty_source,h1_mde80,h1_mde90
Design,Preferred specification (ATO),ATO,Fisher z,z,FALSE,-0.07896063416966331,-0.16000092195593246,0.0020796536166058366,0.045,0.10662554990080352,0.097,-0.12410649658737202,-0.002341118226723389,-0.00492357184930646,less,-0.003369809337767088,0.7462338038652612,44,654,19,TRUE,exact (this well sample),converged,-138.7157243902875,-505.5585074716209,228.12705869104587,0.897,-357.78991176950274,23.230894339678976,-355.08867210174265,greater,CR2 country-clustered SE,334.7729612064317,394.00411704752884
Design,Country fixed effects (within-country identification),ATO,Fisher z,z,FALSE,-0.030272109400839062,-0.13354442757902824,0.07300020877735011,0.325,0.4758160395456047,0.672,-0.17665815298125304,0.34526959406256186,0.33482970067381523,less,0.31203451960669176,0.7044842741055528,44,654,19,TRUE,exact (this well sample),converged,0.9927160396101584,-63606.39991484884,63608.38534692806,0.466,-144.4477312919425,84.38758384637183,-142.19910802910783,greater,CR2 country-clustered SE,52.67839636837251,61.99874976104133
Design,"ATT estimand, nearest-neighbour matching (different estimand)",ATT,Fisher z,z,FALSE,-0.06825089901271279,-0.12165033983370832,-0.014851458191717258,0.04,0.04865334422975352,0.078,-0.11204050133397442,-0.00882350528749009,-0.00953029811930754,less,-0.019406732061631984,0.2676518128149431,44,654,19,TRUE,exact (this well sample),converged,-107.22581152123071,-298.89533380876554,84.44371076630414,0.917,-277.30894399673184,7.923276969368279,-277.9199688503775,greater,CR2 country-clustered SE,228.80063269230212,269.2821754151706
Design,Exclude river-border segments,ATO,Fisher z,z,FALSE,-0.06733961803697905,-0.13952485496958358,0.004845618895625486,0.088,0.11838620631538933,0.17,-0.1316014239494538,0.026790969844383318,0.03088474996129558,less,-0.005712766443497416,0.6861721820639959,30,511,18,TRUE,exact (this well sample),converged,-154.1343650798403,-402.9303894744646,94.66165931478398,0.969,-322.71127070966065,-25.306566802885737,-322.71127070966065,greater,CR2 country-clustered SE,273.34610215732016,321.7090449621694
Design,Exclude aquifers with a border-crossing river (Q >= 10 m3/s),ATO,Fisher z,z,FALSE,-0.06220014491842952,-0.17325995161774219,0.04885966178088314,0.114,0.2873276425122259,0.229,-0.15109105743232948,0.03038650618624021,0.02816906303177838,less,-0.005518219754642278,0.6751606002206395,30,654,19,TRUE,exact (this well sample),converged,-105.79466183513662,-352.2671442476061,140.67782057733288,0.869,-322.78016887346513,135.2579802356285,-321.8955720218293,greater,CR2 country-clustered SE,256.66207809225756,302.07312769195346
Support diagnostics,Wells within 0-100 km only (support diagnostic),ATO,Fisher z,z,FALSE,-0.10791314135950228,-0.4284073414520214,0.21258105873301683,0.198,0.49002830417031523,0.355,-0.29378820970034764,0.11128396237774296,0.13234137545949948,less,0.06270940319329983,0.7148426283596991,42,46,16,TRUE,exact (this well sample),converged,-29.35471576843764,-125.75455596716984,67.04512443029455,0.751,-117.99934471895035,33.247671434413846,-118.73127956289812,greater,CR2 country-clustered SE,118.55270156288431,139.52815166001528
Support diagnostics,Empirical common distance support (45-365 km),ATO,Fisher z,z,FALSE,-0.07953940660491117,-0.25241238850983844,0.09333357530001608,0.196,0.3685891906786824,0.38,-0.16671192779661503,0.08799237762990403,0.08359602164959226,less,-0.01227282944461807,0.7349557800908457,23,242,16,TRUE,exact (this well sample),converged,-147.07297385258755,-583.900611716744,289.75466401156893,0.797,-337.08322723732897,133.60455156525768,-337.36252572645674,greater,CR2 country-clustered SE,479.8426056737671,564.7408365626569
First stage,Spearman rank correlation for H2,ATO,Fisher z (Spearman),z,FALSE,-0.09820596448324508,-0.20410469407636947,0.007692765109879318,0.072,0.12011401500149722,0.141,-0.16922854346744753,0.02574313243761794,0.025367500656662222,less,0.0032350387299766785,0.8620464495986357,44,654,19,TRUE,exact (this well sample),converged,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
First stage,Robust (Huber M) first-stage level (approx. spatial SE),ATO,Fisher z,z,FALSE,-0.07896063416966331,-0.16000092195593246,0.0020796536166058366,0.045,0.10662554990080352,0.097,-0.12410649658737202,-0.002341118226723389,-0.00492357184930646,less,-0.003369809337767088,0.7462338038652612,44,654,19,FALSE,exact (this well sample),converged,-123.94273250484856,-445.8842487292104,197.9987837195133,0.89,-318.6960933592503,25.018993112998047,-316.63694059700686,greater,CR2 country-clustered SE,302.8987466129854,356.4904190110549
First stage,Trimmed-mean first-stage level (approx. spatial SE),ATO,Fisher z,z,FALSE,-0.07896063416966331,-0.16000092195593246,0.0020796536166058366,0.045,0.10662554990080352,0.097,-0.12410649658737202,-0.002341118226723389,-0.00492357184930646,less,-0.003369809337767088,0.7462338038652612,44,654,19,FALSE,exact (this well sample),converged,-125.6929563000614,-453.1553988075548,201.769486207432,0.89,-321.5813710672304,27.257424856795485,-319.81410443997663,greater,CR2 country-clustered SE,302.5445470927206,356.07355120686407
First stage,"H2 as physical slope, mm/yr/km (table only)",ATO,mm/yr per km,slope,TRUE,-0.49211844767526636,-1.666357412683428,0.6821205173328954,0.234,0.41104319403708245,0.493,-0.9830941414518601,0.4419603672565118,0.4368499513408821,less,0.026501023384810137,0.7373186148332328,44,654,19,TRUE,exact (this well sample),converged,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
First stage,H2 as near (0-10 km) vs interior (10-100 km) contrast (table only),ATO,"mm/yr, near minus interior",bin,TRUE,172.12467330519573,84.33776454515723,259.91158206523426,0.759,0.026697439091906684,0.458,-5399.015104876982,7039.118221317816,NA,NA,-165.22009777215857,0.006213010263075425,44,654,19,TRUE,exact (this well sample),converged,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
First stage,Stricter distance-variation screen (SD >= 10 km),ATO,Fisher z,z,FALSE,-0.059181831284428645,-0.14973187392081955,0.03136821135196225,0.124,0.2429817374458876,0.249,-0.11670231914869436,0.052353453180405164,0.057895479916181984,less,-0.021622437464081216,0.2650789148625764,39,431,18,TRUE,exact (this well sample),converged,-125.65810249189288,-354.7373833689364,103.42117838515061,0.915,-312.3547142410941,12.666361403921732,-314.2221321532423,greater,CR2 country-clustered SE,253.17791812365567,297.9725176333208
Spatial uncertainty,Conley cutoff 5 km,ATO,Fisher z,z,FALSE,-0.0763711334570303,-0.1585883611903513,0.0058460942762907225,0.047,0.1195672160577378,0.102,-0.12252301982680694,0.0021369045756277245,-0.001822286978058186,less,-0.00415685802048055,0.6837431810826451,44,654,19,TRUE,exact (this well sample),converged,-141.40355645351033,-508.66806273319276,225.86094982617206,0.899,-363.1223953469271,22.1874412338176,-359.5680814897395,greater,CR2 country-clustered SE,338.273274027092,398.12373787151756
Spatial uncertainty,Conley cutoff 25 km,ATO,Fisher z,z,FALSE,-0.07635825751402729,-0.15852165486310155,0.005805139835046949,0.051,0.11943091860585041,0.112,-0.12101057277033356,0.0037429082977714703,0.0013300149305170074,less,-0.003989381282442267,0.7036467962571642,44,654,19,TRUE,exact (this well sample),converged,-137.6465387173944,-505.55976192762046,230.26668449283162,0.891,-358.39572367728084,23.97437431352919,-352.9774502963365,greater,CR2 country-clustered SE,334.71272319735243,393.9332211678423
Spatial uncertainty,Conley cutoff 50 km,ATO,Fisher z,z,FALSE,-0.07479890247571426,-0.15960059444467434,0.010002789493245803,0.054,0.13459097540228995,0.116,-0.12128037683171299,0.007600395543869076,0.004241479224838357,less,-0.004237085017424606,0.6770446842535376,44,654,19,TRUE,exact (this well sample),converged,-139.90057190950787,-507.71285465111407,227.91171083209835,0.89,-360.8263694337471,24.40485357100706,-356.60917851080114,greater,CR2 country-clustered SE,337.6967478763021,397.4452073349468
Spatial uncertainty,Effective sample size n/rho^0,ATO,Fisher z,z,FALSE,-0.07460123203193296,-0.15667961791330007,0.007477153849434148,0.044,0.12561756353957573,0.096,-0.12222393067221496,-0.00228877245701432,-0.003998477821626564,less,-0.0035561056016039185,0.7239165438755613,44,654,19,TRUE,exact (this well sample),converged,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Spatial uncertainty,Effective sample size n/rho^1,ATO,Fisher z,z,FALSE,-0.0765826445565883,-0.1580675245640224,0.004902235450845824,0.044,0.1162361843171218,0.094,-0.12296819501794046,-0.0025468787659961006,-0.004210453099244887,less,-0.003352616427081865,0.7434213935273769,44,654,19,TRUE,exact (this well sample),converged,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Spatial uncertainty,"Dense-segment Conley subsample, seed 2",ATO,Fisher z,z,FALSE,-0.07896018492964249,-0.16000323630824653,0.0020828664489615373,0.045,0.10663602976179658,0.097,-0.124080250518744,-0.0023387946693006678,-0.004894410248948688,less,-0.003370144911237829,0.7461917352728551,44,654,19,TRUE,exact (this well sample),converged,-138.71571273478747,-505.5584449033667,228.12701943379176,0.897,-357.78989180574007,23.2308998534468,-355.08865224042296,greater,CR2 country-clustered SE,334.77295431628363,394.0041089383114
Spatial uncertainty,"Dense-segment Conley subsample, seed 3",ATO,Fisher z,z,FALSE,-0.07896140345366336,-0.16000680098383224,0.002083994076505516,0.045,0.10663956868072887,0.097,-0.12408205699973651,-0.0023390147444057492,-0.004894663626132944,less,-0.0033688159750843694,0.7462821934008323,44,654,19,TRUE,exact (this well sample),converged,-138.71583319670856,-505.5588436241214,228.12717723070426,0.897,-357.79005208406704,23.23080882507938,-355.08881202780367,greater,CR2 country-clustered SE,334.7730567522745,394.0042294982336
Spatial uncertainty,"Dense-segment Conley subsample, seed 4",ATO,Fisher z,z,FALSE,-0.07896358754531654,-0.16001402295198175,0.0020868478613486757,0.045,0.1066485998706988,0.097,-0.12407180605265813,-0.0023394734176672813,-0.004881728762199134,less,-0.003366603373262911,0.7464279443104809,44,654,19,TRUE,exact (this well sample),converged,-138.7157404170045,-505.5585245190415,228.1270436850325,0.897,-357.7899351526156,23.230883751044583,-355.08869539414934,greater,CR2 country-clustered SE,334.7730243770451,394.0041913948765
Spatial uncertainty,"Dense-segment Conley subsample, seed 5",ATO,Fisher z,z,FALSE,-0.0789637230126254,-0.1600064158426609,0.0020789698174101118,0.045,0.10662300596364606,0.097,-0.12412281846832801,-0.002331125437386116,-0.004940467066099835,less,-0.0033667929938675507,0.7464578811814422,44,654,19,TRUE,exact (this well sample),converged,-138.7158326264413,-505.5589322814259,228.1272670285433,0.897,-357.7900719835314,23.230824527225813,-355.0888316748712,greater,CR2 country-clustered SE,334.7730751600369,394.004251162869
Spatial uncertainty,"Dense-segment Conley subsample, seed 6",ATO,Fisher z,z,FALSE,-0.07895795289412988,-0.15999901694892482,0.002083111160665063,0.045,0.10663705103949182,0.097,-0.12406460240260317,-0.0023499546011493634,-0.004892121518430253,less,-0.0033723900632990148,0.7460262434613791,44,654,19,TRUE,exact (this well sample),converged,-138.71573341414964,-505.5585328349616,228.12706600666232,0.897,-357.7899293037613,23.230891606971916,-355.0886895310659,greater,CR2 country-clustered SE,334.77299772393405,394.0041600260484
