grp,label,specification,h1_estimate,h1_wcb_lo,h1_wcb_hi,h1_wcb_bound_one,h1_wcb_bound_one_alt,h1_p_one,h1_mde80,h1_mde90,h2_estimate,h2_wcb_lo,h2_wcb_hi,h2_wcb_bound_one,h2_wcb_bound_one_alt,h2_p_one
0,Preferred specification (ATO),Preferred specification (ATO),-138.7157243902875,-357.78991176950274,23.230894339678976,-355.08867210174265,greater,0.897,334.7729612064317,394.00411704752884,-0.07896063416966331,-0.12410649658737202,-0.002341118226723389,-0.00492357184930646,less,0.045
1,Country fixed effects,Country fixed effects (within-country identification),0.9927160396101584,-144.4477312919425,84.38758384637183,-142.19910802910783,greater,0.466,52.67839636837251,61.99874976104133,-0.030272109400839062,-0.17665815298125304,0.34526959406256186,0.33482970067381523,less,0.325
1,"ATT estimand, nearest-neighbour matching","ATT estimand, nearest-neighbour matching (different estimand)",-107.22581152123071,-277.30894399673184,7.923276969368279,-277.9199688503775,greater,0.917,228.80063269230212,269.2821754151706,-0.06825089901271279,-0.11204050133397442,-0.00882350528749009,-0.00953029811930754,less,0.04
2,Spearman rank correlation for H2,Spearman rank correlation for H2,NA,NA,NA,NA,NA,NA,NA,NA,-0.09820596448324508,-0.16922854346744753,0.02574313243761794,0.025367500656662222,less,0.072
2,"H2 as physical slope, mm/yr/km","H2 as physical slope, mm/yr/km (table only)",NA,NA,NA,NA,NA,NA,NA,NA,-0.49211844767526636,-0.9830941414518601,0.4419603672565118,0.4368499513408821,less,0.234
2,Robust (Huber M) first-stage level,Robust (Huber M) first-stage level (approx. spatial SE),-123.94273250484856,-318.6960933592503,25.018993112998047,-316.63694059700686,greater,0.89,302.8987466129854,356.4904190110549,-0.07896063416966331,-0.12410649658737202,-0.002341118226723389,-0.00492357184930646,less,0.045
2,Trimmed-mean first-stage level,Trimmed-mean first-stage level (approx. spatial SE),-125.6929563000614,-321.5813710672304,27.257424856795485,-319.81410443997663,greater,0.89,302.5445470927206,356.07355120686407,-0.07896063416966331,-0.12410649658737202,-0.002341118226723389,-0.00492357184930646,less,0.045
2,Stricter distance-variation screen (SD$\geq$10),Stricter distance-variation screen (SD >= 10 km),-125.65810249189288,-312.3547142410941,12.666361403921732,-314.2221321532423,greater,0.915,253.17791812365567,297.9725176333208,-0.059181831284428645,-0.11670231914869436,0.052353453180405164,0.057895479916181984,less,0.124
2,Wells within 0--100 km only,Wells within 0-100 km only (support diagnostic),-29.35471576843764,-117.99934471895035,33.247671434413846,-118.73127956289812,greater,0.751,118.55270156288431,139.52815166001528,-0.10791314135950228,-0.29378820970034764,0.11128396237774296,0.13234137545949948,less,0.198
2,Empirical common distance support (45--365 km),Empirical common distance support (45-365 km),-147.07297385258755,-337.08322723732897,133.60455156525768,-337.36252572645674,greater,0.797,479.8426056737671,564.7408365626569,-0.07953940660491117,-0.16671192779661503,0.08799237762990403,0.08359602164959226,less,0.196
3,Conley cutoff 5 km,Conley cutoff 5 km,-141.40355645351033,-363.1223953469271,22.1874412338176,-359.5680814897395,greater,0.899,338.273274027092,398.12373787151756,-0.0763711334570303,-0.12252301982680694,0.0021369045756277245,-0.001822286978058186,less,0.047
3,Conley cutoff 25 km,Conley cutoff 25 km,-137.6465387173944,-358.39572367728084,23.97437431352919,-352.9774502963365,greater,0.891,334.71272319735243,393.9332211678423,-0.07635825751402729,-0.12101057277033356,0.0037429082977714703,0.0013300149305170074,less,0.051
3,Conley cutoff 50 km,Conley cutoff 50 km,-139.90057190950787,-360.8263694337471,24.40485357100706,-356.60917851080114,greater,0.89,337.6967478763021,397.4452073349468,-0.07479890247571426,-0.12128037683171299,0.007600395543869076,0.004241479224838357,less,0.054
3,Effective sample size $n/\rho^{0}$,Effective sample size n/rho^0,NA,NA,NA,NA,NA,NA,NA,NA,-0.07460123203193296,-0.12222393067221496,-0.00228877245701432,-0.003998477821626564,less,0.044
3,Effective sample size $n/\rho^{1}$,Effective sample size n/rho^1,NA,NA,NA,NA,NA,NA,NA,NA,-0.0765826445565883,-0.12296819501794046,-0.0025468787659961006,-0.004210453099244887,less,0.044
3,"Dense-segment Conley subsample, seed 2","Dense-segment Conley subsample, seed 2",-138.71571273478747,-357.78989180574007,23.2308998534468,-355.08865224042296,greater,0.897,334.77295431628363,394.0041089383114,-0.07896018492964249,-0.124080250518744,-0.0023387946693006678,-0.004894410248948688,less,0.045
3,"Dense-segment Conley subsample, seed 3","Dense-segment Conley subsample, seed 3",-138.71583319670856,-357.79005208406704,23.23080882507938,-355.08881202780367,greater,0.897,334.7730567522745,394.0042294982336,-0.07896140345366336,-0.12408205699973651,-0.0023390147444057492,-0.004894663626132944,less,0.045
