system:index,CC,CS_max,CntryNm,GWIrKHaKm2,RDS_main,RDS_mainDist,RDS_tot,Region,STS,aq_id,area_km2,code,constant,countrs,crpkHaKm2,dummy,lat_c,lon_c,name,pet_mm,prec_mm,urbkHaKm2,.geo
1_NA,NA,7597.628408292534,NA,0.905309408838978,0.0,0.0,376.40430016393265,NA,1.4063632612550316,NA,310.4060072301417,NA,1.0,NA,0.7974759946449373,1,27.809195581130957,79.61936027414761,NA,1217.4120415099944,76.99849517242001,0.02573968119438002,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000001d6,GTM,8718.893677472859,Guatemala,0.0,0.0,0.0014627712261641747,643.0700991070439,AMER,5.046094703584089,208,1294.777579035361,C001,1.0,Guatemala; Mexico,0.008894405410333081,,14.980629022674012,-92.02728106508675,Soconusco-Suchiate / Coat�n,1151.4164984310416,231.76402498904002,0.012808422145927383,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000001d7,MEX,7612.638513582743,Mexico,0.011987430374665965,10.847502287194487,0.11585451113795489,778.4085453684156,AMER,3.854348200800611,208,3136.2218091770624,C001,1.0,Guatemala; Mexico,0.0613254900179268,,14.971897204685273,-92.33709523761252,Soconusco-Suchiate / Coat�n,1327.3294259343086,190.39496065571237,0.004249405274047485,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000001d8,GTM,7953.896791983771,Guatemala,0.0,45.47145265604312,0.0,586.6606789412026,AMER,6.2180836675016895,207,3961.9733577843162,C002,1.0,Guatemala; Mexico,1.5721981864917354E-4,,15.332833596154465,-91.79376560117912,Chicomuselo-Cuilco / Selegua,1063.1521181915477,140.55810320383222,0.010698555753569454,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000001d9,MEX,4960.042313963698,Mexico,0.0,0.39816849420347883,0.23470599731436342,325.82655211063025,AMER,6.137356538442233,207,3829.104713242854,C002,1.0,Guatemala; Mexico,0.013310175096066199,,15.654353889515878,-92.33004912309288,Chicomuselo-Cuilco / Selegua,1161.5057323120257,140.3332699294825,5.330360157147173E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000001da,GTM,7254.847517212717,Guatemala,0.0,0.0,29.079019503325135,171.61995240216768,AMER,4.915391546455303,206,6016.30138390053,C003,1.0,Guatemala; Mexico,0.0035583320986122867,,16.32660848885978,-91.08627487933461,Ocosingo-Usumacinta-Poc�m-Ixc�n,1194.3571633920326,231.31870703674625,0.001430741212594237,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000001db,MEX,6930.284682003071,Mexico,0.0,0.0,8.723864610871159,179.59408259412083,AMER,4.851872294535121,206,15451.321548518732,C003,1.0,Guatemala; Mexico,5.772305771638273E-5,,16.65059499867717,-91.47255781512266,Ocosingo-Usumacinta-Poc�m-Ixc�n,1202.004396564484,197.75548004835807,2.4492606709795563E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000001dc,GTM,7982.3950662193465,Guatemala,0.0,6.194571221488885,4.700797614653808,350.169419674723,AMER,5.047107982561137,205,13732.579705562388,C004,1.0,Guatemala; Mexico,0.001438765261524355,,15.50567169075707,-90.78532616470841,M�rquez de Comillas-Chixoy / Xaclbal,1169.917186818318,241.7832707129713,0.0028336092915514713,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000001dd,MEX,9979.212909363046,Mexico,0.0,0.0,1.9592459128130237,110.25187942251762,AMER,1.4364478678487103,205,1991.8903679176135,C004,1.0,Guatemala; Mexico,8.883853212496423E-4,,16.26460290530812,-90.64616635752134,M�rquez de Comillas-Chixoy / Xaclbal,1280.9422684024537,273.68882792062954,1.187628603366823E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000001de,GTM,7054.280049061469,Guatemala,0.0,0.0,20.058933074969083,89.99629055554547,AMER,2.5590915452233767,288,14143.121728552396,C005,1.0,Guatemala; Mexico,4.85248307370347E-5,,17.34619597350526,-90.3242914172985,Boca del Cerro-San Pedro,1289.4800075147552,159.0476103063681,2.1773068551645224E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
