system:index,CC,CntryNm,Region,aq_id,code,countrs,dummy,name,p0,p10,p100,p20,p30,p40,p50,p60,p70,p80,p90,.geo
1_NA,NA,NA,NA,NA,NA,NA,1,NA,107.11534976516243,110.70086622579136,127.74427949737448,112.61032666278012,114.32612200538883,115.95090439090127,117.43160408582577,119.08467518254947,120.58931657730521,122.31735499326052,124.2977119201868,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000001d6,GTM,Guatemala,AMER,208,C001,Guatemala; Mexico,,Soconusco-Suchiate / Coat�n,3.246659256840219,3.246659256840219,3.246659256840219,3.246659256840219,3.246659256840219,3.246659256840219,3.246659256840219,3.246659256840219,3.246659256840219,3.246659256840219,3.246659256840219,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000001d7,MEX,Mexico,AMER,208,C001,Guatemala; Mexico,,Soconusco-Suchiate / Coat�n,14.795864787630025,19.423123375625476,45.33634302050999,30.888930335171253,33.730610750593634,35.28959985193755,37.847966004239105,40.52780484199903,42.339137964552656,43.21875197858024,44.01419692494245,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000001d8,GTM,Guatemala,AMER,207,C002,Guatemala; Mexico,,Chicomuselo-Cuilco / Selegua,,,,,,,,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000001d9,MEX,Mexico,AMER,207,C002,Guatemala; Mexico,,Chicomuselo-Cuilco / Selegua,13.037297745145592,13.037297745145592,48.49840517308769,14.363602993041257,14.363602993041257,15.19859389426452,15.689855710627151,16.52483025747077,17.016055859578625,18.685992340783216,47.17291449250594,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000001da,GTM,Guatemala,AMER,206,C003,Guatemala; Mexico,,Ocosingo-Usumacinta-Poc�m-Ixc�n,,,,,,,,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000001db,MEX,Mexico,AMER,206,C003,Guatemala; Mexico,,Ocosingo-Usumacinta-Poc�m-Ixc�n,,,,,,,,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000001dc,GTM,Guatemala,AMER,205,C004,Guatemala; Mexico,,M�rquez de Comillas-Chixoy / Xaclbal,105.1955671973082,105.1955671973082,105.1955671973082,105.1955671973082,105.1955671973082,105.1955671973082,105.1955671973082,105.1955671973082,105.1955671973082,105.1955671973082,105.1955671973082,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000001dd,MEX,Mexico,AMER,205,C004,Guatemala; Mexico,,M�rquez de Comillas-Chixoy / Xaclbal,,,,,,,,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000001de,GTM,Guatemala,AMER,288,C005,Guatemala; Mexico,,Boca del Cerro-San Pedro,,,,,,,,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000001df,MEX,Mexico,AMER,288,C005,Guatemala; Mexico,,Boca del Cerro-San Pedro,,,,,,,,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000001e0,GTM,Guatemala,AMER,204,C006,Guatemala; Mexico,,Trinitaria-Nent�n,,,,,,,,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000001e1,MEX,Mexico,AMER,204,C006,Guatemala; Mexico,,Trinitaria-Nent�n,5.3281959898055025,54.216976461847594,86.10114899516874,59.69504516802943,63.34058715068685,66.6785696094512,70.71705117983004,74.30434961905635,76.71334656933533,78.76354977259349,80.76893969257863,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000001e2,BLZ,Belize,AMER,365,C007,Belize; Guatemala; Mexico,,Pen�nsula de Yucat�n-Candelaria-Hondo,6.563148566756925,6.563148566756925,6.563148566756925,6.563148566756925,6.563148566756925,6.563148566756925,6.563148566756925,6.563148566756925,6.563148566756925,6.563148566756925,6.563148566756925,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000001e3,GTM,Guatemala,AMER,365,C007,Belize; Guatemala; Mexico,,Pen�nsula de Yucat�n-Candelaria-Hondo,,,,,,,,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
