system:index,CntrName,HYBAS_ID,area_km2,dummy,lat,lev,lon,p0,p10,p100,p20,p30,p40,p50,p60,p70,p80,p90,.geo
1_NA,NA,NA,NA,1,NA,NA,NA,107.11534976516243,110.70086622579136,127.82775649782188,112.6631778745024,114.32612200538883,116.05837708621527,117.57453217630253,119.08467518254947,120.83243302438677,122.45969024631601,124.2977119201868,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000082,China,4020050470,590570.392057823,,33.17842003195272,2,86.39186370211848,,,,,,,,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000192c,Argentina,6030017370,392345.947510473,,-36.37741812785376,3,-61.96125808545899,113.46436949824347,226.00179111067297,716.2303133909181,334.0100593208853,390.053079766635,438.0264734259909,469.9742076872412,502.0315697506842,529.9893435863393,557.9846828781357,593.9770371933207,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000192d,Brazil,6030011790,574161.380435507,,-16.498187506777313,3,-41.12546788656452,1193.5401363101723,1340.428893604518,2290.6628053279596,1348.1606288402957,1411.8205065484478,1610.083498224464,2140.184405614909,2164.60888468056,2179.1548197034817,2212.0526749461715,2236.1818225513134,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000015b4,Canada,7030021430,400676.874974632,,56.85067278895671,3,-102.148421824661,457.25762045426774,479.2365497297984,645.412465036472,493.2374486909244,568.4830408887838,577.4612674031835,581.4405225089292,587.464262516169,592.4696863698148,598.4479537602668,605.4363117603921,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000009e,India,4030029530,316063.383896837,,19.528640209897958,3,75.70074178318879,226.5365221362779,339.99703669585904,1921.7136263435314,395.9819356634591,467.98294767424727,524.192224617283,571.9915698369276,611.9798141713563,651.9224161677496,716.0055239427963,971.8591157043512,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000007e1,Mozambique,1030011530,4407.4168599865,,-18.29553202259123,3,36.38276057117045,165.75307206216516,165.75307206216516,202.3788483532871,171.45516696732986,172.04304831208287,172.56818517949773,172.98124705716586,173.394308934834,173.92054118906282,199.75896485448627,202.3788483532871,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000838,Angola,1040019180,22818.166207449,,-11.739515642619544,4,15.218116307556416,,,,,,,,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000839,Angola,1040019270,22800.0409163377,,-10.527082062672863,4,14.704236892658637,,,,,,,,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000c33,Angola,1040019280,3199.46760539728,,-9.686161459872338,4,13.500785068015904,,,,,,,,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000c35,Angola,1040019190,1076.87307554267,,-10.574395979976885,4,13.8087335684084,,,,,,,,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000192f,Argentina,6040017380,86124.7691809491,,-36.13588214244042,4,-59.993462823173445,113.46436949824347,150.98623730697224,540.1457584831135,170.99918899611964,184.99106257057122,198.98175981380945,215.00538647602784,231.00849313940716,255.01402794678722,297.03043747788706,346.9997347431772,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000001930,Argentina,6040017530,17427.5557639906,,-36.941233854080814,4,-58.19489204106952,318.2887053606275,338.2307487419809,391.0269742991331,344.7407023112936,349.25481965774804,354.24189562308095,359.2223634632189,364.2545814146194,369.2484185937693,374.7658628120023,379.7387015774078,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000001931,Argentina,6040017540,17661.5402086678,,-37.563001638502215,4,-57.72916156577867,378.77659376658573,381.1765831116259,397.1409428425615,382.8110200556607,383.92561315313134,385.06087750987416,386.3036668716813,387.31744473862835,389.16726404863095,391.9240592084755,394.6993621874489,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000001932,Argentina,6040017980,11741.8432237562,,-38.41879694957459,4,-59.8725258744565,429.6132766232813,456.51147127137614,560.426566231585,470.49721671509417,481.5122830605114,489.4782525857445,496.4939298061481,504.4993915479795,511.4904719731696,521.5040425180672,533.4901976971506,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000001933,Argentina,6040018290,43911.8102085901,,-38.58977214200496,4,-62.87431614742818,525.9992018735564,553.4982329929899,716.2698674716826,565.5013144756874,578.4985848072946,590.4975227133918,603.4946790784792,617.5003973497836,632.5034191237945,654.4995084818652,675.4879513432244,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000001934,Argentina,6040933800,58994.0217342575,,-37.1833063191982,4,-66.31352904467009,384.7913759948272,394.5022936143817,516.3483051225177,398.43170110420834,403.68643781085234,406.44186786851947,409.5032267485756,411.88123682110313,417.49684308601263,434.8233192878189,444.35962111076816,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000001935,Argentina,6040018850,27407.4735851186,,-39.446722104258114,4,-64.17395749355306,586.9533231761449,679.4755318488908,743.2708507489114,692.5421365689939,702.4823000683125,707.5030223761235,710.5084638760126,714.502588876729,718.496237668213,722.5146432647284,729.490971996972,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000001936,Argentina,6040040510,193464.992168785,,-35.50481225797303,4,-63.74330835198792,231.45723340852538,345.0285009246567,635.0749717092339,394.98471987438376,427.019000955504,453.01344413400574,474.986199975293,499.0083834588659,523.001750514202,544.9912229350039,570.9723717667086,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000193c,Argentina,6040017970,10328.0601566958,,-37.8692387024269,4,-59.37739533024674,376.2515086189771,389.26297866533696,452.3441809242823,396.3108125538542,426.7315604055173,434.75273698987604,438.7216047303415,441.2514374314118,443.24549706592484,445.7587461495885,447.73001798039786,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000193d,Argentina,6040018280,9902.95876052137,,-38.02109221490148,4,-60.88829016194787,428.2577996094521,476.493373540266,562.8560768768491,494.4800255956181,505.49646687858507,513.502191068955,518.5048763235214,522.501243865896,526.4968109174848,531.4939154351623,537.5042588289349,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000001995,Argentina,6040862810,27462.7538103661,,-29.245111534564625,4,-68.29727946918874,104.49063987234054,108.43505040854367,153.92635905470908,127.62144625634191,128.64748810670486,129.59134071799502,131.93691678357786,150.0637918050254,151.59078457072914,152.3523048792741,153.12765208276306,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000475,Belarus,2040363700,25000.8759025717,,53.800294936126505,4,28.72163163271846,89.63306080301925,114.6707109904976,191.90418807316786,122.28063099812131,129.23528266562852,138.77702266448324,144.27437890597213,150.23980026485177,156.2341114456104,163.23446821770716,170.71700293047178,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000018f0,Brazil,6040639910,45018.8320507016,,-17.163948117198174,4,-46.36564725244248,1030.7876749731893,1082.4483446918057,1177.2104646621551,1111.5455254885576,1115.4904774645704,1118.4419810151944,1123.4681713258221,1134.542624545045,1139.5264708545592,1145.6317710164865,1170.4811446672034,"{""type"":""MultiPoint"",""coordinates"":[]}"
