system:index,CntrName,HYBAS_ID,area_km2,dummy,lat,lev,lon,p0,p10,p100,p20,p30,p40,p50,p60,p70,p80,p90,.geo
1_NA,NA,NA,NA,1,NA,NA,NA,107.11534976516243,110.70086622579136,127.74427949737448,112.61032666278012,114.32612200538883,115.95090439090127,117.43160408582577,119.08467518254947,120.58931657730521,122.31735499326052,124.2977119201868,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000082,China,4020050470,590570.392057823,,33.17842003195272,2,86.39186370211848,,,,,,,,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000192c,Argentina,6030017370,392345.947510473,,-36.37741812785376,3,-61.96125808545899,118.81058331924591,306.04030162642425,712.2955633822002,373.98337564563684,421.9860340656212,454.0236093194268,473.9865280769728,497.99030595308244,517.9823518083011,537.9822130334869,569.9305237889637,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000192d,Brazil,6030011790,574161.380435507,,-16.498187506777313,3,-41.12546788656452,837.2287402518452,1333.7317254587458,2257.3110219601226,1339.559107202423,1348.1985395607906,1363.2740815668708,1387.709360007368,1596.8577686388364,1611.8000020474894,2062.685554977277,2165.131835244268,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000015b4,Canada,7030021430,400676.874974632,,56.85067278895671,3,-102.148421824661,459.2443516186909,486.2388219706641,641.4109577273487,500.24831345069356,509.2641470371977,551.2765401738105,565.3434994003719,573.383715102129,577.3788134181697,581.3752693736385,592.4126922772666,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000009e,India,4030029530,316063.383896837,,19.528640209897958,3,75.70074178318879,225.8580785507558,340.1413098911896,1916.2461549000313,428.29548456949567,508.0035709112696,547.9946399210102,587.9835566351511,619.9962261918955,651.9467264099172,683.9338784935757,739.9093760905025,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000007e1,Mozambique,1030011530,4407.4168599865,,-18.29553202259123,3,36.38276057117045,,,,,,,,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000838,Angola,1040019180,22818.166207449,,-11.739515642619544,4,15.218116307556416,452.5270927251549,512.0299910958388,537.0195827927542,517.6834764485872,518.9665309715875,518.9732297265925,519.9615885018919,519.9691752399458,519.9775883051328,520.9676445715039,521.9598243496699,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000839,Angola,1040019270,22800.0409163377,,-10.527082062672863,4,14.704236892658637,,,,,,,,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000c33,Angola,1040019280,3199.46760539728,,-9.686161459872338,4,13.500785068015904,,,,,,,,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000c35,Angola,1040019190,1076.87307554267,,-10.574395979976885,4,13.8087335684084,,,,,,,,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
