system:index,CntrName,HYBAS_ID,area_km2,dummy,lat,lev,lon,p0,p10,p100,p20,p30,p40,p50,p60,p70,p80,p90,.geo
1_NA,NA,NA,NA,1,NA,NA,NA,107.11534976516243,110.70086622579136,127.82775649782188,112.6631778745024,114.32612200538883,116.05837708621527,117.57453217630253,119.08467518254947,120.83243302438677,122.45969024631601,124.2977119201868,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000082,China,4020050470,590570.392057823,,33.17842003195272,2,86.39186370211848,166.30540811366674,167.87522960795573,360.0195519581176,175.3699659067214,219.86167645531455,297.4205447231762,307.2250879117178,308.0463576967194,309.0217409784111,332.7770662913102,333.65355575452253,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000192c,Argentina,6030017370,392345.947510473,,-36.37741812785376,3,-61.96125808545899,113.46722861857087,254.02031307643236,716.2303133909181,326.0024105399748,374.0218044858286,410.01405448003,442.0171802374054,473.99417756106163,501.9947003258656,529.9679567486193,573.9830710347195,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000192d,Brazil,6030011790,574161.380435507,,-16.498187506777313,3,-41.12546788656452,797.0378038873203,1211.9652365846016,2292.343822522474,1340.0729504915307,1404.0502121244174,1580.2458668461213,1627.928457725431,2019.6511743132392,2107.648681952176,2179.9874130361027,2211.9435922183943,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000015b4,Canada,7030021430,400676.874974632,,56.85067278895671,3,-102.148421824661,457.25762045426774,499.23956950510564,661.3086167801277,539.2349016302787,562.322394996008,573.3688773700202,581.3887823594579,588.385483867096,595.3595509878753,602.3956133249526,614.470251299505,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000009e,India,4030029530,316063.383896837,,19.528640209897958,3,75.70074178318879,223.4108479574183,340.01741285127696,1922.2876664926348,404.00028424976193,476.04634058249786,531.9442442485442,571.975759049238,611.9683240524581,651.9311892968261,724.0859319353102,1044.0941047355032,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000007e1,Mozambique,1030011530,4407.4168599865,,-18.29553202259123,3,36.38276057117045,114.85093668276019,125.76496166511406,204.03340810912908,131.19931611479947,136.19429952273302,148.68228073479398,183.25979958547032,189.7121705833856,194.2164081463967,196.67251659939103,199.35233335811216,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000838,Angola,1040019180,22818.166207449,,-11.739515642619544,4,15.218116307556416,408.5277703243019,447.5057564038537,541.3130367495621,455.4869757287802,462.52658085549626,468.52661324701177,475.5135618326915,482.48175176447995,494.4587262820713,516.5527275416387,527.6306117268203,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000839,Angola,1040019270,22800.0409163377,,-10.527082062672863,4,14.704236892658637,363.1462013218743,407.56839336026843,491.85903445723943,418.47280645525535,424.4570802389529,429.4984044917312,433.5146495367532,436.4977934673435,441.4644135250964,445.5162497121717,449.4902214243226,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000c33,Angola,1040019280,3199.46760539728,,-9.686161459872338,4,13.500785068015904,,,,,,,,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
