system:index,CC,CntryNm,Region,aq_id,code,countrs,dummy,name,p0,p10,p100,p20,p30,p40,p50,p60,p70,p80,p90,.geo
1_NA,NA,NA,NA,NA,NA,NA,1,NA,107.11534976516243,110.53595601617356,127.74427949737448,112.33622136827046,113.96343020732,115.54151083900496,116.9340944297655,118.30714984999736,119.81652768101148,121.41238907019743,123.06688327133571,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000001d6,GTM,Guatemala,AMER,208,C001,Guatemala; Mexico,,Soconusco-Suchiate / Coat�n,0.11410453608718832,0.34741546792524935,13.369704044270206,0.8012165808279694,1.3500874286573246,1.695475523726185,2.2253261717974078,3.0650158076072804,4.266981603386927,5.647387216132594,11.476778750366162,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000001d7,MEX,Mexico,AMER,208,C001,Guatemala; Mexico,,Soconusco-Suchiate / Coat�n,0.11410453608718832,1.611681483719322,41.777629121428085,3.8268770943871386,6.576294308448858,11.982156450059371,15.586206746301492,18.86064931729951,24.23956540613551,31.571259535736292,35.629895549686076,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000001d8,GTM,Guatemala,AMER,207,C002,Guatemala; Mexico,,Chicomuselo-Cuilco / Selegua,35.99824110867346,35.99824110867346,41.65636901331211,35.99824110867346,35.99824110867346,36.83384577261073,36.83384577261073,36.83384577261073,41.65636901331211,41.65636901331211,41.65636901331211,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000001d9,MEX,Mexico,AMER,207,C002,Guatemala; Mexico,,Chicomuselo-Cuilco / Selegua,4.734867422967499,8.909597606607681,30.47240029128648,9.74459694193042,11.071220609985371,13.38092928390673,15.689855710627151,17.016055859578625,18.342203401560546,21.682091315447746,27.47679067069517,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000001da,GTM,Guatemala,AMER,206,C003,Guatemala; Mexico,,Ocosingo-Usumacinta-Poc�m-Ixc�n,,,,,,,,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000001db,MEX,Mexico,AMER,206,C003,Guatemala; Mexico,,Ocosingo-Usumacinta-Poc�m-Ixc�n,2.6367393113387707,2.6367393113387707,6.60811112701469,2.6367393113387707,2.6367393113387707,4.621422442295158,4.621422442295158,4.621422442295158,6.60811112701469,6.60811112701469,6.60811112701469,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000001dc,GTM,Guatemala,AMER,205,C004,Guatemala; Mexico,,M�rquez de Comillas-Chixoy / Xaclbal,102.1326510153083,105.5543025455292,116.47181387904149,105.69407107757439,105.99065079370368,106.80773980689429,107.11329050547776,108.5319778119127,110.21587382774902,113.52089725742886,114.90095501486596,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000001dd,MEX,Mexico,AMER,205,C004,Guatemala; Mexico,,M�rquez de Comillas-Chixoy / Xaclbal,,,,,,,,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000001de,GTM,Guatemala,AMER,288,C005,Guatemala; Mexico,,Boca del Cerro-San Pedro,,,,,,,,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000001df,MEX,Mexico,AMER,288,C005,Guatemala; Mexico,,Boca del Cerro-San Pedro,5.724230902077737,5.724230902077737,29.378560713702758,6.7170329325547105,18.458142886409895,18.458142886409895,18.458284175763126,24.414882536705125,24.414882536705125,25.40763502556433,29.378560713702758,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000001e0,GTM,Guatemala,AMER,204,C006,Guatemala; Mexico,,Trinitaria-Nent�n,,,,,,,,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000001e1,MEX,Mexico,AMER,204,C006,Guatemala; Mexico,,Trinitaria-Nent�n,1.1545346092278965,8.736328017389038,97.24376982656266,15.297261163508333,26.16486336759925,49.409638521675404,59.12386119514001,73.77785770028768,75.75275078429094,78.73476975969285,81.25126750414292,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000001e2,BLZ,Belize,AMER,365,C007,Belize; Guatemala; Mexico,,Pen�nsula de Yucat�n-Candelaria-Hondo,0.0237476794184411,0.11117330747189218,6.179386793625513,0.37338677392393343,0.5659815647295698,0.7920330026721202,1.2270292985385862,1.6733700921439465,2.2334080232330322,2.610416676257393,3.331882646073615,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000001e3,GTM,Guatemala,AMER,365,C007,Belize; Guatemala; Mexico,,Pen�nsula de Yucat�n-Candelaria-Hondo,,,,,,,,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000001e4,MEX,Mexico,AMER,365,C007,Belize; Guatemala; Mexico,,Pen�nsula de Yucat�n-Candelaria-Hondo,0.23711768402056133,9.08353482853962,335.94228284022506,14.862119522966479,78.65637750171227,185.27326767415516,212.90787702787472,230.48980120124946,275.46799513274675,295.26228715552674,309.2713444489675,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000001e5,BLZ,Belize,AMER,362,C008,Belize; Guatemala,,Mop�n-Belice,,,,,,,,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000001e6,GTM,Guatemala,AMER,362,C008,Belize; Guatemala,,Mop�n-Belice,,,,,,,,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000001e7,BLZ,Belize,AMER,361,C009,Belize; Guatemala,,Pusila-Moho,,,,,,,,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000001e8,GTM,Guatemala,AMER,361,C009,Belize; Guatemala,,Pusila-Moho,,,,,,,,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000001e9,BLZ,Belize,AMER,364,C010,Belize; Guatemala,,Sarst�n,1.2406423649211054,1.2406423649211054,1.2406423649211054,1.2406423649211054,1.2406423649211054,1.2406423649211054,1.2406423649211054,1.2406423649211054,1.2406423649211054,1.2406423649211054,1.2406423649211054,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000001ea,GTM,Guatemala,AMER,364,C010,Belize; Guatemala,,Sarst�n,2.925529747421536,2.925529747421536,34.15494126800018,4.323822197946936,5.722114648472337,9.637206801430455,13.552298954388572,23.367621609403855,33.182944264419135,33.66894276620965,34.15494126800018,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000001eb,BLZ,Belize,AMER,363,C011,Belize; Guatemala,,Temash,,,,,,,,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000001ec,GTM,Guatemala,AMER,363,C011,Belize; Guatemala,,Temash,,,,,,,,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000001ed,GTM,Guatemala,AMER,57,C012,Guatemala; Honduras,,Delta del R�o Motagua,0.3117798311784669,8.69365713934221,114.93657486432981,12.662212565349128,16.164458038926497,23.967638748350907,27.906339644936285,35.440461606700055,43.413501374092846,52.52477896385281,75.30551575709981,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000001ee,HND,Honduras,AMER,57,C012,Guatemala; Honduras,,Delta del R�o Motagua,,,,,,,,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000001ef,GTM,Guatemala,AMER,217,C013,Guatemala; Honduras,,Chiquimula - Cop�n Ruinas,2.246159056030309,15.089961707262846,43.9167871115121,16.60985738582876,19.138521660669902,21.94533144713971,33.35973845825713,34.327035577212655,35.19871535374173,36.66485175789495,40.35745248297252,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000001f0,HND,Honduras,AMER,217,C013,Guatemala; Honduras,,Chiquimula - Cop�n Ruinas,,,,,,,,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
