system:index,CntrName,HYBAS_ID,area_km2,dummy,lat,lev,lon,p0,p10,p100,p20,p30,p40,p50,p60,p70,p80,p90,.geo
1_NA,NA,NA,NA,1,NA,NA,NA,107.11534976516243,110.53595601617356,127.74427949737448,112.33622136827046,113.96343020732,115.54151083900496,116.9340944297655,118.30714984999736,119.81652768101148,121.41238907019743,123.06688327133571,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000082,China,4020050470,590570.392057823,,33.17842003195272,2,86.39186370211848,,,,,,,,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000192c,Argentina,6030017370,392345.947510473,,-36.37741812785376,3,-61.96125808545899,306.4199613552988,345.1349713554363,712.8816719797915,389.15489866661136,417.16197032142253,439.1538360020571,448.9424499777972,473.2500904678398,680.9033051870806,688.986077903695,697.0124256334144,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000192d,Brazil,6030011790,574161.380435507,,-16.498187506777313,3,-41.12546788656452,799.5279478278042,1435.2568923067765,2287.0670661941713,1548.0359119809862,1587.867870910528,1676.3493320593568,1716.2582568338923,1739.965172989308,1755.9896376820927,1779.6981279381666,1836.2145353400078,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000015b4,Canada,7030021430,400676.874974632,,56.85067278895671,3,-102.148421824661,,,,,,,,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000009e,India,4030029530,316063.383896837,,19.528640209897958,3,75.70074178318879,225.55278725766118,347.671025131254,1917.7022144554169,435.9025547755123,507.96501976007545,548.0186258290855,596.048928458805,628.1154758857397,651.8790316277676,691.8190787214523,1036.7685746814327,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000007e1,Mozambique,1030011530,4407.4168599865,,-18.29553202259123,3,36.38276057117045,163.25325459481334,165.50863588962494,205.38403220155033,169.0384714963169,194.68990611870507,198.0998953840409,199.24255225937915,199.9350032212736,200.75116825671432,201.62871568820862,204.03150545865628,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000838,Angola,1040019180,22818.166207449,,-11.739515642619544,4,15.218116307556416,440.5510082322337,444.37018140451744,510.53517506754537,448.2040642747835,449.23310076519004,450.68423386650767,451.8707998053389,453.31404516735455,458.846535186076,460.7250302797613,462.80233551440097,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000839,Angola,1040019270,22800.0409163377,,-10.527082062672863,4,14.704236892658637,482.7391388409274,483.7532169660947,493.71540090148056,484.7591678834221,487.22572796084864,488.89449300340834,490.56549779379503,491.40183295409463,491.71796235611663,492.5285948824196,492.86904663857604,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000c33,Angola,1040019280,3199.46760539728,,-9.686161459872338,4,13.500785068015904,,,,,,,,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000c35,Angola,1040019190,1076.87307554267,,-10.574395979976885,4,13.8087335684084,491.67632812280505,492.66823275670936,500.5859990097922,493.66013838364023,494.2190109085133,494.65204500274757,495.06499655901195,497.600633785757,498.77704576729906,499.58821127756306,500.12845482384824,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000192f,Argentina,6040017380,86124.7691809491,,-36.13588214244042,4,-59.993462823173445,485.70116252691224,490.5754734431845,528.4698818937177,502.01007498001655,503.5407455623569,507.85653211408163,511.0221216064085,514.8030370332391,524.4010222207853,525.9036503175948,527.220247549544,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000001930,Argentina,6040017530,17427.5557639906,,-36.941233854080814,4,-58.19489204106952,366.40013199185205,368.14593722650665,383.84150667717375,371.89557608905506,372.4416312589297,372.8882219517059,375.62929712308346,377.0557094865245,379.18686938357195,380.2017675923143,382.3423474711044,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000001931,Argentina,6040017540,17661.5402086678,,-37.563001638502215,4,-57.72916156577867,361.62987086776786,386.59917912013856,470.6564853074965,397.7537877887039,407.3680239322323,415.2862820576533,422.8007242838668,429.5157751659225,436.8749358254151,444.6085573870736,453.7962890773713,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000001932,Argentina,6040017980,11741.8432237562,,-38.41879694957459,4,-59.8725258744565,434.7143099038889,445.6909308475818,476.47354038257276,448.14588670193075,449.20347177117293,451.1412138656434,453.73279444597614,457.5228927847818,459.9595612330494,462.63051784824455,467.2910532276874,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000001933,Argentina,6040018290,43911.8102085901,,-38.58977214200496,4,-62.87431614742818,673.2143085662134,682.8895214362765,713.5470371138211,686.1242951097838,688.6283061060346,690.8829202375305,693.8864092802777,695.8869020998164,698.0865119060243,700.4160583420582,702.5823026924583,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000001934,Argentina,6040933800,58994.0217342575,,-37.1833063191982,4,-66.31352904467009,,,,,,,,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000001935,Argentina,6040018850,27407.4735851186,,-39.446722104258114,4,-64.17395749355306,458.66391842208697,590.8484527898069,717.6393439676203,596.6913773398518,684.9868102691262,689.2476929347126,697.0423011131901,703.2313786283818,707.0656024291775,709.0136288166983,713.3026363972816,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000001936,Argentina,6040040510,193464.992168785,,-35.50481225797303,4,-63.74330835198792,306.4199613552988,324.5909958089864,522.7534838547352,333.57218918046283,341.3100475411653,346.6104914843805,351.6162523761808,387.539671597398,446.3382073974878,483.2534657573898,496.4246094467422,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000193c,Argentina,6040017970,10328.0601566958,,-37.8692387024269,4,-59.37739533024674,401.2780335582903,423.94842547440624,476.1945015383267,435.61622444832955,438.2292622584812,440.1981731029972,441.15467764311774,443.7491696593239,444.3775570846916,445.62219062113337,448.81808893699707,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000193d,Argentina,6040018280,9902.95876052137,,-38.02109221490148,4,-60.88829016194787,421.7441950561067,426.1368815390099,442.6769254027167,436.54522799438456,436.89666905400026,440.32573447596593,440.8796868186362,441.5674864444582,441.57500612767194,441.9132075655087,441.94320614784965,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000001995,Argentina,6040862810,27462.7538103661,,-29.245111534564625,4,-68.29727946918874,125.87162757007943,126.69118663946672,171.36592964025448,139.40774602055671,142.7950986163937,143.49505167412963,149.83858571689973,150.29524388057413,150.47108703310272,152.74990238082148,153.14155806524735,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000475,Belarus,2040363700,25000.8759025717,,53.800294936126505,4,28.72163163271846,68.34675665674419,86.49587354512957,178.2769799849785,102.31067940472182,122.16560872776896,130.94697520602855,135.6226120377037,140.72952802663474,148.9908351637472,155.66285110434436,164.79954356015486,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000018f0,Brazil,6040639910,45018.8320507016,,-17.163948117198174,4,-46.36564725244248,986.0361732224611,1050.6292843327492,1217.277706122895,1066.620137959356,1087.5561989784403,1102.4775150850369,1111.5062572521567,1123.4989037681519,1132.376688064383,1139.4229830344934,1150.440537384983,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000018f1,Brazil,6040476800,52551.6004291572,,-11.59095381175895,4,-49.818932606572936,,,,,,,,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000018f2,Brazil,6040595200,51846.3208460546,,-15.679349316873273,4,-45.377628454795335,1159.3224443751353,1173.1695713824859,1499.008241525526,1181.263040626584,1184.4836602852138,1196.7155578045486,1297.0256610712217,1321.1845857251326,1443.1466180574525,1458.9869564272078,1474.9352271719501,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000018f3,Brazil,6040476790,32308.2952510862,,-10.887753422847169,4,-51.17709432651214,,,,,,,,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000018f4,Brazil,6040562010,34277.8756948191,,-13.59710995117257,4,-45.056054773562145,1343.6344691958784,1462.4752964765473,1595.5710513284419,1488.4721074008796,1495.4810726332014,1498.5089272467067,1524.3536588770396,1548.516729530505,1557.601387490294,1566.4001376328176,1576.3871423473279,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000018f5,Brazil,6040562020,36944.1538088957,,-14.293984910044506,4,-44.187304061149476,1284.2393205885073,1472.2812890917508,1621.253331783008,1574.9722523938337,1579.1903386947633,1580.8627702435756,1582.9020280820923,1585.009320760454,1586.9204891060144,1591.2525980069533,1608.6780666994257,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000018f6,Brazil,6040595210,30700.9226679668,,-15.579911038259839,4,-43.40904617785671,1361.0368521925782,1457.4318608299093,1609.586164751021,1466.370531900069,1470.8669444003763,1475.6673367072146,1480.7213970106736,1488.479913731116,1499.622718259546,1508.9195299778285,1578.4373493862713,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000018f7,Brazil,6040510750,77115.6353053905,,-11.689041469815264,4,-45.017658923267035,1316.9007073027176,1359.3241378115638,1727.759405437952,1375.0582884624382,1397.2662833648112,1412.9419840325093,1436.9734275603494,1469.0516432338106,1495.031342652059,1501.09008794761,1508.8911886760543,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000018f8,Brazil,6040345180,104118.401313218,,-8.084020145310026,4,-49.4119502188345,977.2349397923106,977.2349397923106,1128.8747835252236,977.2349397923106,1089.880340676873,1089.880340676873,1110.8014637713993,1110.8014637713993,1110.8014637713993,1128.8747835252236,1128.8747835252236,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000001937,Brazil,6040013420,82688.2236056723,,-19.44472083164108,4,-42.23908717287554,1182.8567457613578,1435.1301897640324,1577.3699085261203,1513.0822095799235,1517.0003093363925,1522.815348345772,1529.1968564683586,1534.531977953957,1540.7091314980485,1547.001607048775,1550.8259381369407,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000059c,Canada,7049000230,6669.64328172317,,57.30233488217663,4,-102.36127564325663,,,,,,,,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000059d,Canada,7049000510,3624.88217510478,,56.92468159615591,4,-98.92729140729372,,,,,,,,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000005f3,Canada,7049001060,1520.4664972649,,48.54997570296136,4,-74.79728310769639,,,,,,,,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000005f4,Canada,7049001700,1070.91935676556,,48.58575333406093,4,-72.04285377676563,,,,,,,,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000005f5,Canada,7049001760,1036.69243274668,,48.735752546446705,4,-79.78545785160355,,,,,,,,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000005f6,Canada,7049001580,1117.82486194889,,52.51802582077564,4,-76.41508750505369,,,,,,,,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000005f7,Canada,7049000660,2653.95923710562,,53.734575290152975,4,-75.27292551404045,,,,,,,,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
