system:index,CC,CntryNm,Region,aq_id,code,countrs,dummy,name,p0,p10,p100,p20,p30,p40,p50,p60,p70,p80,p90,.geo
1_NA,NA,NA,NA,NA,NA,NA,1,NA,107.11534976516243,110.53595601617356,127.74427949737448,112.33622136827046,113.96343020732,115.54151083900496,116.9340944297655,118.30714984999736,119.81652768101148,121.41238907019743,123.06688327133571,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000001d6,GTM,Guatemala,AMER,208,C001,Guatemala; Mexico,,Soconusco-Suchiate / Coat�n,,,,,,,,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000001d7,MEX,Mexico,AMER,208,C001,Guatemala; Mexico,,Soconusco-Suchiate / Coat�n,,,,,,,,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000001d8,GTM,Guatemala,AMER,207,C002,Guatemala; Mexico,,Chicomuselo-Cuilco / Selegua,,,,,,,,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000001d9,MEX,Mexico,AMER,207,C002,Guatemala; Mexico,,Chicomuselo-Cuilco / Selegua,,,,,,,,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000001da,GTM,Guatemala,AMER,206,C003,Guatemala; Mexico,,Ocosingo-Usumacinta-Poc�m-Ixc�n,,,,,,,,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000001db,MEX,Mexico,AMER,206,C003,Guatemala; Mexico,,Ocosingo-Usumacinta-Poc�m-Ixc�n,,,,,,,,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000001dc,GTM,Guatemala,AMER,205,C004,Guatemala; Mexico,,M�rquez de Comillas-Chixoy / Xaclbal,,,,,,,,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000001dd,MEX,Mexico,AMER,205,C004,Guatemala; Mexico,,M�rquez de Comillas-Chixoy / Xaclbal,,,,,,,,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000001de,GTM,Guatemala,AMER,288,C005,Guatemala; Mexico,,Boca del Cerro-San Pedro,,,,,,,,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000001df,MEX,Mexico,AMER,288,C005,Guatemala; Mexico,,Boca del Cerro-San Pedro,,,,,,,,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000001e0,GTM,Guatemala,AMER,204,C006,Guatemala; Mexico,,Trinitaria-Nent�n,,,,,,,,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000001e1,MEX,Mexico,AMER,204,C006,Guatemala; Mexico,,Trinitaria-Nent�n,,,,,,,,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
