system:index,CC,CntryNm,Region,aq_id,code,countrs,dummy,name,p0,p10,p100,p20,p30,p40,p50,p60,p70,p80,p90,.geo
1_NA,NA,NA,NA,NA,NA,NA,1,NA,107.11534976516243,110.70086622579136,127.82775649782188,112.6631778745024,114.32612200538883,116.05837708621527,117.57453217630253,119.08467518254947,120.83243302438677,122.45969024631601,124.2977119201868,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000001d6,GTM,Guatemala,AMER,208,C001,Guatemala; Mexico,,Soconusco-Suchiate / Coat�n,0.0029733710069275963,0.8772081626023082,34.03710049382049,2.3719047234844814,4.131858155300578,6.123717081152886,8.102872810798894,10.351512933604893,12.880929593518298,16.075140534011926,21.3953435490988,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000001d7,MEX,Mexico,AMER,208,C001,Guatemala; Mexico,,Soconusco-Suchiate / Coat�n,0.0029733710069275963,3.3864404081353974,54.07566885727135,6.607048822174933,9.87631624986771,13.37178706442354,17.137361491819295,20.881195328543345,25.371668678884195,30.632981720974655,37.84506455284758,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000001d8,GTM,Guatemala,AMER,207,C002,Guatemala; Mexico,,Chicomuselo-Cuilco / Selegua,0.0014300010246896342,6.237816298394395,71.54183653989696,13.246921374565842,19.258196546072572,24.24600311243579,29.252600491564106,34.77747228075977,39.73922496621912,45.28641389880103,51.742862381656614,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000001d9,MEX,Mexico,AMER,207,C002,Guatemala; Mexico,,Chicomuselo-Cuilco / Selegua,0.0014300010246896342,6.761604192979984,81.02559719337782,12.759768883833138,19.24800908979827,26.246289623590393,32.25803336966402,38.261045889905446,44.25570241350687,50.25850399023636,60.2363140669747,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000001da,GTM,Guatemala,AMER,206,C003,Guatemala; Mexico,,Ocosingo-Usumacinta-Poc�m-Ixc�n,0.0011429459277444796,1.6177046959238326,63.861918986687435,4.133049706044693,6.872003233906624,10.134839763941963,13.216972643409365,17.187662637222434,22.36372292572838,31.107289494637776,45.00498862900115,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000001db,MEX,Mexico,AMER,206,C003,Guatemala; Mexico,,Ocosingo-Usumacinta-Poc�m-Ixc�n,0.0011429459277444796,6.662681578008419,111.82224061527809,13.637944950191002,19.615464736560074,25.769596830593755,31.73230451024994,38.306134146814486,45.289138867378334,55.714993291788026,71.24623709482788,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000001dc,GTM,Guatemala,AMER,205,C004,Guatemala; Mexico,,M�rquez de Comillas-Chixoy / Xaclbal,0.005187236561381875,13.250313366963024,121.43289364444738,24.200548280052587,42.03971161480936,55.25318798515996,63.8370935074855,73.77622379219352,83.73359092620647,92.68054072045516,102.62415320111748,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000001dd,MEX,Mexico,AMER,205,C004,Guatemala; Mexico,,M�rquez de Comillas-Chixoy / Xaclbal,0.005187236561381875,1.3076622551483934,28.43963547098985,2.63724173789651,4.3095047519599134,6.197310294572393,8.31581787174724,10.570441183355118,13.195132212881651,16.09107944460754,19.510149882737355,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000001de,GTM,Guatemala,AMER,288,C005,Guatemala; Mexico,,Boca del Cerro-San Pedro,0.02019018494663498,6.258444157699632,84.61585641895945,13.129783725696722,20.11391046437662,27.138414104018246,34.16356739144084,42.21331922376837,50.82474661517256,58.79753851189296,67.73998286065917,"{""type"":""MultiPoint"",""coordinates"":[]}"
