system:index,CntrName,HYBAS_ID,area_km2,dummy,lat,lev,lon,p0,p10,p100,p20,p30,p40,p50,p60,p70,p80,p90,.geo
1_NA,NA,NA,NA,1,NA,NA,NA,107.11534976516243,110.70086622579136,127.82775649782188,112.6631778745024,114.32612200538883,116.05837708621527,117.57453217630253,119.08467518254947,120.83243302438677,122.45969024631601,124.2977119201868,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000082,China,4020050470,590570.392057823,,33.17842003195272,2,86.39186370211848,43.65472030685471,178.00622548942044,852.6912263896002,234.0217172867807,285.9966030469297,333.9865879564962,382.00113602904014,442.0154401190201,501.99254875263546,574.0052819482224,677.994620840442,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000192c,Argentina,6030017370,392345.947510473,,-36.37741812785376,3,-61.96125808545899,113.46722861857087,254.0144677199527,736.292554186684,318.0199035690705,362.01606683684713,401.99436175315867,434.0084850977074,469.9904572854439,501.9916066631764,533.9736116839456,581.9810241496918,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000192d,Brazil,6030011790,574161.380435507,,-16.498187506777313,3,-41.12546788656452,794.895344115725,1204.043335856919,2292.474990093215,1316.019181357252,1412.0055512114309,1507.9929070973014,1611.98973053977,1715.9892607857705,1819.9949923438105,1947.9849796925414,2067.989275616526,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000015b4,Canada,7030021430,400676.874974632,,56.85067278895671,3,-102.148421824661,456.2562938087599,625.838045470656,1220.873055812658,709.8585856025628,773.8968157887608,825.9549747678035,869.9992526090333,914.0259603673825,962.0457677421151,1018.0731919605181,1086.0968676098294,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000009e,India,4030029530,316063.383896837,,19.528640209897958,3,75.70074178318879,223.588216705518,356.0262813749702,1923.2143832720185,436.00448791837505,516.0343820522925,563.9967180033152,611.9834270293762,659.979645455642,723.9702557866314,1052.0289277800155,1524.2315237732337,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000007e1,Mozambique,1030011530,4407.4168599865,,-18.29553202259123,3,36.38276057117045,114.85093668276019,144.75468290716208,220.02359339201544,155.29522862874418,163.21213717450823,169.25083333649908,175.27649885647628,180.78362010198768,186.76158638947584,193.2542850876126,198.75245465982806,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000838,Angola,1040019180,22818.166207449,,-11.739515642619544,4,15.218116307556416,398.5961700078154,438.50665106006943,542.3187007898551,452.50001155603303,462.49433222865883,471.4943104169573,479.4965953947796,489.49704696343593,499.516721104185,511.4833454334059,524.6444836042431,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000839,Angola,1040019270,22800.0409163377,,-10.527082062672863,4,14.704236892658637,326.99592117153327,364.5025819870671,494.23759660496086,380.5008178620959,394.50084101150065,405.5076130950546,415.49574072651274,425.50367004588304,435.4989035560964,446.44939549144146,460.53310842921104,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000c33,Angola,1040019280,3199.46760539728,,-9.686161459872338,4,13.500785068015904,384.0760172713739,399.35010099533963,480.80842414996846,405.3209194421183,409.70517860703615,414.31768942178576,418.2996946673943,422.26410298406836,426.25687630769175,432.2225220993778,447.3449637417777,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000c35,Angola,1040019190,1076.87307554267,,-10.574395979976885,4,13.8087335684084,462.14106652891223,472.6148728848404,510.8806265053927,479.3666772747308,486.67494688357704,490.3559274257737,493.0967690700977,495.11623841252754,496.8899249114268,498.85852377318497,501.6090698715601,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000192f,Argentina,6040017380,86124.7691809491,,-36.13588214244042,4,-59.993462823173445,113.46722861857087,168.9972878845218,544.4141561500059,196.9875016023063,220.98594964046038,246.98341998555048,275.0001878348136,302.98692252575137,336.991087569533,373.0158782833422,416.99783327297973,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000001930,Argentina,6040017530,17427.5557639906,,-36.941233854080814,4,-58.19489204106952,212.4519004590954,261.50295244468566,397.10899097171773,278.525028314207,290.5257732399411,300.5223128758739,310.5166573981369,321.52809395539794,332.5306676770463,344.5192843547006,361.5195568774668,"{""type"":""MultiPoint"",""coordinates"":[]}"
