system:index,CC,CntryNm,GW,Ir,IrNeed0,IrNeed3,IrNeed6,OverGW0,OverGW3,OverGW6,OverIR0,OverIR3,OverIR6,Region,aq_id,code,countrs,crp,dummy,name,.geo
1_NA,NA,NA,0.7281108728825425,0.7281108728825425,0.7961423127036406,0.7961423127036406,0.7961423127036406,0.7281108728825425,0.7281108728825425,0.7281108728825425,0.7281108728825425,0.7281108728825425,0.7281108728825425,NA,NA,NA,NA,0.7961423127036406,1,NA,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000001d6,GTM,Guatemala,0.0,4.984157699345944E-4,0.00872329469203972,0.00872329469203972,6.32140765142644E-4,0.0,0.0,0.0,4.984157699345944E-4,2.0598874643697876E-4,0.0,AMER,208,C001,Guatemala; Mexico,0.00872329469203972,,Soconusco-Suchiate / Coat�n,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000001d7,MEX,Mexico,0.002904759978551427,0.006292962342519569,0.062016119381863896,0.06183535630350311,0.036958344876068645,0.002904759978551427,0.0015399121967218706,0.0,0.006292962342519569,0.0041430842447200255,0.0,AMER,208,C001,Guatemala; Mexico,0.062016119381863896,,Soconusco-Suchiate / Coat�n,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000001d8,GTM,Guatemala,0.0,0.0,1.5626402587335297E-4,8.096398022706018E-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AMER,207,C002,Guatemala; Mexico,1.5626402587335297E-4,,Chicomuselo-Cuilco / Selegua,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000001d9,MEX,Mexico,0.0,9.373162898819329E-4,0.013352072028106053,0.006864381201451984,2.3016387692860533E-4,0.0,0.0,0.0,9.373162898819329E-4,9.373162898819329E-4,0.0,AMER,207,C002,Guatemala; Mexico,0.013352072028106053,,Chicomuselo-Cuilco / Selegua,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000001da,GTM,Guatemala,0.0,0.0,0.003552608687231672,5.156507008794201E-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AMER,206,C003,Guatemala; Mexico,0.003552608687231672,,Ocosingo-Usumacinta-Poc�m-Ixc�n,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000001db,MEX,Mexico,0.0,0.0,5.386945291413665E-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AMER,206,C003,Guatemala; Mexico,5.386945291413665E-5,,Ocosingo-Usumacinta-Poc�m-Ixc�n,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000001dc,GTM,Guatemala,0.0,2.2807910376956404E-5,0.0014426921907513112,3.041482065765952E-4,0.0,0.0,0.0,0.0,2.2807910376956404E-5,0.0,0.0,AMER,205,C004,Guatemala; Mexico,0.0014426921907513112,,M�rquez de Comillas-Chixoy / Xaclbal,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000001dd,MEX,Mexico,0.0,0.0,8.081431762163676E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AMER,205,C004,Guatemala; Mexico,8.081431762163676E-4,,M�rquez de Comillas-Chixoy / Xaclbal,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000001de,GTM,Guatemala,0.0,0.0,4.861071838301815E-5,1.1242282912778569E-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AMER,288,C005,Guatemala; Mexico,4.861071838301815E-5,,Boca del Cerro-San Pedro,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000001df,MEX,Mexico,0.0,0.0,9.378001179253966E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AMER,288,C005,Guatemala; Mexico,9.378001179253966E-4,,Boca del Cerro-San Pedro,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000001e0,GTM,Guatemala,0.0,8.68646421222972E-5,0.003207989674992603,0.002467576756253193,0.0,0.0,0.0,0.0,8.68646421222972E-5,0.0,0.0,AMER,204,C006,Guatemala; Mexico,0.003207989674992603,,Trinitaria-Nent�n,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000001e1,MEX,Mexico,0.0,0.03374984754934598,0.08021247405075407,0.07164184778385949,0.03457773656221601,0.0,0.0,0.0,0.03374984754934598,0.0336842940958222,0.0,AMER,204,C006,Guatemala; Mexico,0.08021247405075407,,Trinitaria-Nent�n,"{""type"":""MultiPoint"",""coordinates"":[]}"
