system:index,CntrName,GW,HYBAS_ID,Ir,IrNeed0,IrNeed3,IrNeed6,OverGW0,OverGW3,OverGW6,OverIR0,OverIR3,OverIR6,area_km2,crp,dummy,lat,lev,lon,.geo
1_NA,NA,0.7281108728825425,NA,0.7281108728825425,0.7961423127036406,0.7961423127036406,0.7961423127036406,0.7281108728825425,0.7281108728825425,0.7281108728825425,0.7281108728825425,0.7281108728825425,0.7281108728825425,NA,0.7961423127036406,1,NA,NA,NA,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000082,China,0.0,4020050470,0.0,1.4933340012887884E-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,590570.392057823,1.4933340012887884E-7,,33.17842003195272,2,86.39186370211848,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000192c,Argentina,9.443547544634176E-4,6030017370,0.0016814102412029837,0.37048052822710964,0.25654152642305555,0.03740870264900646,9.443547544634176E-4,0.0,0.0,0.0016814102412029837,2.1661561969809414E-4,1.805834893262938E-4,392345.947510473,0.37048052822710964,,-36.37741812785376,3,-61.96125808545899,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000192d,Brazil,3.802290218423047E-7,6030011790,1.5231667189065864E-4,0.004758539519033649,0.0013572813087682051,5.344105573331773E-4,3.802290218423047E-7,0.0,0.0,1.5231667189065864E-4,1.2458878722491718E-7,0.0,574161.380435507,0.004758539519033649,,-16.498187506777313,3,-41.12546788656452,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000015b4,Canada,0.0,7030021430,0.0,0.004093302543483261,0.0019289668374157895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400676.874974632,0.004093302543483261,,56.85067278895671,3,-102.148421824661,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000009e,India,0.06909662030387007,4030029530,0.09187585214412201,0.25002155548390137,0.24446054296098368,0.2324303513984446,0.06909662030387007,0.05901940000456117,0.005792813247672855,0.09187585214412201,0.0765635083835696,0.009789643309763823,316063.383896837,0.25002155548390137,,19.528640209897958,3,75.70074178318879,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000007e1,Mozambique,0.0,1030011530,2.3239713663355837E-5,0.0015840753227563222,1.5283082984850128E-5,0.0,0.0,0.0,0.0,2.3239713663355837E-5,0.0,0.0,4407.4168599865,0.0015840753227563222,,-18.29553202259123,3,36.38276057117045,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000838,Angola,0.0,1040019180,4.4411087594669436E-4,0.009253668746883286,0.0,0.0,0.0,0.0,0.0,4.4411087594669436E-4,0.0,0.0,22818.166207449,0.009253668746883286,,-11.739515642619544,4,15.218116307556416,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000839,Angola,0.0,1040019270,9.423255754794644E-8,0.003975635601470692,0.0,0.0,0.0,0.0,0.0,9.423255754794644E-8,0.0,0.0,22800.0409163377,0.003975635601470692,,-10.527082062672863,4,14.704236892658637,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000c33,Angola,0.0,1040019280,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3199.46760539728,0.0,,-9.686161459872338,4,13.500785068015904,"{""type"":""MultiPoint"",""coordinates"":[]}"
