system:index,CntrName,HYBAS_ID,area_km2,dummy,lat,lev,lon,.geo
1_NA,NA,NA,NA,1,NA,NA,NA,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000082,China,4020050470,590570.392057823,,33.17842003195272,2,86.39186370211848,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000192c,Argentina,6030017370,392345.947510473,,-36.37741812785376,3,-61.96125808545899,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000192d,Brazil,6030011790,574161.380435507,,-16.498187506777313,3,-41.12546788656452,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000015b4,Canada,7030021430,400676.874974632,,56.85067278895671,3,-102.148421824661,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000009e,India,4030029530,316063.383896837,,19.528640209897958,3,75.70074178318879,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000007e1,Mozambique,1030011530,4407.4168599865,,-18.29553202259123,3,36.38276057117045,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000838,Angola,1040019180,22818.166207449,,-11.739515642619544,4,15.218116307556416,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000839,Angola,1040019270,22800.0409163377,,-10.527082062672863,4,14.704236892658637,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000c33,Angola,1040019280,3199.46760539728,,-9.686161459872338,4,13.500785068015904,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000c35,Angola,1040019190,1076.87307554267,,-10.574395979976885,4,13.8087335684084,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000192f,Argentina,6040017380,86124.7691809491,,-36.13588214244042,4,-59.993462823173445,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000001930,Argentina,6040017530,17427.5557639906,,-36.941233854080814,4,-58.19489204106952,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000001931,Argentina,6040017540,17661.5402086678,,-37.563001638502215,4,-57.72916156577867,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000001932,Argentina,6040017980,11741.8432237562,,-38.41879694957459,4,-59.8725258744565,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000001933,Argentina,6040018290,43911.8102085901,,-38.58977214200496,4,-62.87431614742818,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000001934,Argentina,6040933800,58994.0217342575,,-37.1833063191982,4,-66.31352904467009,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000001935,Argentina,6040018850,27407.4735851186,,-39.446722104258114,4,-64.17395749355306,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000001936,Argentina,6040040510,193464.992168785,,-35.50481225797303,4,-63.74330835198792,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000193c,Argentina,6040017970,10328.0601566958,,-37.8692387024269,4,-59.37739533024674,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000193d,Argentina,6040018280,9902.95876052137,,-38.02109221490148,4,-60.88829016194787,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000001995,Argentina,6040862810,27462.7538103661,,-29.245111534564625,4,-68.29727946918874,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000475,Belarus,2040363700,25000.8759025717,,53.800294936126505,4,28.72163163271846,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000018f0,Brazil,6040639910,45018.8320507016,,-17.163948117198174,4,-46.36564725244248,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000018f1,Brazil,6040476800,52551.6004291572,,-11.59095381175895,4,-49.818932606572936,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000018f2,Brazil,6040595200,51846.3208460546,,-15.679349316873273,4,-45.377628454795335,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000018f3,Brazil,6040476790,32308.2952510862,,-10.887753422847169,4,-51.17709432651214,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000018f4,Brazil,6040562010,34277.8756948191,,-13.59710995117257,4,-45.056054773562145,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000018f5,Brazil,6040562020,36944.1538088957,,-14.293984910044506,4,-44.187304061149476,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000018f6,Brazil,6040595210,30700.9226679668,,-15.579911038259839,4,-43.40904617785671,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000018f7,Brazil,6040510750,77115.6353053905,,-11.689041469815264,4,-45.017658923267035,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000018f8,Brazil,6040345180,104118.401313218,,-8.084020145310026,4,-49.4119502188345,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000001937,Brazil,6040013420,82688.2236056723,,-19.44472083164108,4,-42.23908717287554,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000059c,Canada,7049000230,6669.64328172317,,57.30233488217663,4,-102.36127564325663,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000059d,Canada,7049000510,3624.88217510478,,56.92468159615591,4,-98.92729140729372,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000005f3,Canada,7049001060,1520.4664972649,,48.54997570296136,4,-74.79728310769639,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000005f4,Canada,7049001700,1070.91935676556,,48.58575333406093,4,-72.04285377676563,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000005f5,Canada,7049001760,1036.69243274668,,48.735752546446705,4,-79.78545785160355,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000005f6,Canada,7049001580,1117.82486194889,,52.51802582077564,4,-76.41508750505369,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000005f7,Canada,7049000660,2653.95923710562,,53.734575290152975,4,-75.27292551404045,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000005f8,Canada,7049000940,1817.31562531814,,51.368985621894275,4,-68.65682093965641,"{""type"":""MultiPoint"",""coordinates"":[]}"
