"Aquifer","CS_max","GWIrKHaKm2","RDS_main","RDS_mainDist","RDS_tot","STS","area_km2","constant","crpkHaKm2","lat_c","lon_c","pet_mm","prec_mm","CC","CntrNm","urbkHaKm2","type","GW","Ir","IrNeed0","IrNeed3","IrNeed6","OverGW0","OverGW3","OverGW6","OverIR0","OverIR3","OverIR6","crp","giniIr","giniGw","giniCr","giniUnsustIr","giniUnsustGw","giniCSI","aq_id","RiverBorder"
"Middle-Upper Devonian Aquifer System",10000,0,0,0,293.1875,3.24652777777778,0.312837350044594,1,0.00721102741024419,55.8156510054393,26.984209348501,499.422190656566,55.3398569023569,"BLR","Belarus",0,"treat",0,0,0.00614081333953732,0,0,0,0,0,0,0,0,0.00614081333953732,NA,NA,NA,NA,NA,NA,7,TRUE
"Central Urucuia Aquifer",6250.00967314094,0.0101203058554108,0,5.02573762362038,126.640721548535,3.94777546173054,31163.940272311,1,0.17871660191039,-12.7146534947996,-45.2584660789359,1264.86813701298,88.2551087847954,"BRA","Brazil",9.85324193106778e-06,"ctrl",0.00536127752861606,0.00536127752861606,0.178756792956937,0.0836293984575199,0.0212476152534152,0.00536127752861606,1.83582414342226e-06,0,0.00536127752861606,1.83582414342226e-06,0,0.178756792956937,-0.276165906805737,-0.276165906805737,-0.568798686942735,0.449838385328946,0.449838385328946,0.608278204204386,8,FALSE
"Amazonas Basin and Alter de Chao Aquifer System",2932.72769704052,1.86852685965227e-05,0,187.471704081588,36.8581735963184,4.50517324865023,319941.379140246,1,0.000544585229037643,-2.86344445893159,-55.9466533266597,1040.75871424667,178.263749877514,"BRA","Brazil",0.000196757455160668,"ctrl",0,0,0.000544584120714213,0,0,0,0,0,0,0,0,0.000544584120714213,0.0447563408472824,-0.000379811789080087,0.140767470089878,NA,NA,-0.24385472409618,9,FALSE
"Eastern Poti and Piaui and Cabecas and Serra Grande Aquifers",5229.29814430866,0.00196242471235662,0,4.237209091092,122.679029870066,4.30411060683591,118438.493500837,1,0.00123431176692125,-5.8183696090735,-41.9182188237614,1305.88759123242,78.450270253536,"BRA","Brazil",0.000548539863389953,"ctrl",1.81186612824734e-05,2.1629397179952e-05,0.0012449198264567,0.000514681776842234,0.000111100859181095,1.81186612824734e-05,0,0,2.1629397179952e-05,0,0,0.0012449198264567,-0.179796479995632,-0.333979190495097,-0.85079210501442,NA,NA,-0.308810950379504,10,FALSE
"Western Parecis Basin",5807.69694690209,0,0,38.1517679263978,63.9333690837027,3.52421017252809,214308.359716513,1,0.151465937107189,-12.9282620032741,-58.124469283783,1034.27481298216,150.219731910417,"BRA","Brazil",8.63311139787369e-05,"ctrl",0,0.0017604945088689,0.151359127552217,0.000744975928597998,0,0,0,0,0.0017604945088689,0,0,0.151359127552217,0.224144213746073,NA,0.286126290294057,NA,NA,0.242669179744164,11,TRUE
"Eastern Parecis Basin",5593.00494297693,0,0,80.7296368260949,43.3780257829914,3.23021879119888,118520.420436704,1,0.0387316677219065,-11.9497614439331,-53.4545660165433,1122.64125063381,148.59958556846,"BRA","Brazil",4.95399063277936e-05,"ctrl",0,8.20190898493075e-05,0.0388161889768343,0,0,0,0,0,8.20190898493075e-05,0,0,0.0388161889768343,-0.408806002077473,NA,-0.344956224435212,NA,NA,-0.0415241906375565,12,FALSE
"Western Brahmaputra Basin Aquifer",7071.88457081607,0,0,1.46812474821512,169.777977345809,4.7926721515687,241.048425766346,1,0.0172741799264669,26.8120865983044,90.7224620568653,994.062164051946,278.352508324357,"BTN","Bhutan",0.00473621780332932,"treat",0,0.000135577883723153,0.013961729270217,0,0,0,0,0,0.000135577883723153,0,0,0.013961729270217,-0.193462197372303,NA,NA,NA,NA,NA,13,TRUE
"Lower Rio Paz Aquifer",9773.52542839537,0,17.2321529243638,0,691.415232126703,1.7330247925216,289.880909939512,1,0.0290294515829218,13.8683139313389,-90.1605831582234,1393.23694780193,148.82178242112,"GTM","Guatemala",0.00400479935257234,"treat",0,0,0.0288186388939154,0.024978545995721,0.024978545995721,0,0,0,0,0,0,0.0288186388939154,NA,NA,-0.964520711623698,NA,NA,-0.168016604180941,14,FALSE
"Northcentral Mega Aquifer System",214.89534578887,0,14.0941457794854,39.311682540539,178.461334214692,4.87451554795393,28326.5177324851,1,0.000189051890943668,29.9320641027156,46.4408884617552,2102.59273400232,8.64770648733258,"IRQ","Iraq",0.0003046923919115,"treat",0,1.2639759134715e-06,0.000188854770243469,3.02252059513575e-06,3.02252059513575e-06,0,0,0,1.2639759134715e-06,7.91403526538209e-07,0,0.000188854770243469,-0.371415597554149,NA,NA,-0.373561972163231,NA,NA,15,TRUE
"Northern Mega Aquifer System",45.6091632627299,0,3.47259134720554,118.269600226091,49.3300362474937,4.28857003588074,102949.287252769,1,0.000471919828882707,31.4176518439615,43.4596245210688,1927.15091304733,6.59149485530745,"IRQ","Iraq",4.19398157140995e-05,"treat",0,0.000142434188912548,0.000453583054684355,0.000244394591262693,0.000104850835145747,0,0,0,0.000142434188912548,0.000110542841780962,0,0.000453583054684355,0.808337808082703,NA,0.8947469103878,0.831644156860988,NA,0.859644493245871,16,FALSE
