"iso3","energy","gdp_pc","agva","agland_km2","agva_ha"
"AFG",0.7,413.757894705303,5959243270.69578,381160,156.344927870075
"AGO",0.97,2665.87444776753,22289780488.1933,460630,483.897715915014
"ALB",1.36,11377.7757431099,4179188054.89164,10446,4000.75440828225
"AND",NA,49303.6491674336,NA,NA,NA
"ARE",0.49,50273.5060469837,4249693669.1627,3917.037,10849.2558767321
"ARG",1.1,13969.7836603737,37063607556.0073,1161363.431,319.138751631722
"ARM",0.77,8556.21406956719,2026039263.61622,16523,1226.19334480192
"AUS",NA,64603.9856308464,35766874141.9844,3632436.782,98.4652350158489
"AUT",1.2,58268.8787651601,6506444439.44687,25972.63,2505.11574663285
"AZE",0.56,7283.8499076179,4204176470.58824,47796,879.60843388322
"BDI",1.21,219.424830882698,1076045723.36732,21542.068,499.509018060532
"BEL",1.43,56614.5679499036,5314812815.70312,13533,3927.29831944367
"BEN",0.72,1485.38018885134,5205614705.6986,47167.523,1103.6438580204
"BFA",0.98,981.992649769081,4840610622.49715,146107.887,331.303855109283
"BGD",1.12,2593.41611680774,50254940777.9345,93990,5346.83910819603
"BGR",1.11,17596.0173663521,2664766058.09579,50029.9,532.634696070908
"BHR",NA,29653.5682731534,115655851.06383,81,14278.500131337
"BIH",1.05,9358.78768951134,1342653814.74736,11130,1206.3376592519
"BLR",0.6,8317.63399913792,5215526376.75159,80340,649.181774552102
"BLZ",1.13,7681.24400583113,254620750,1820,1399.01510989011
"BOL",0.71,4421.16609889999,4843968017.36614,388153.989,124.795008028789
"BRA",1.02,10310.5488778166,125734503064.3,2367588,531.06580648449
"BRN",0.37,33153.4738913513,180174229.230955,134,13445.8380023101
"BTN",0.98,3831.32535494609,451726890.439088,5270,857.166775026732
"BWA",0.71,7695.75319445165,332194795.995881,258620,12.8448996982399
"CAF",1.41,516.160999996036,767629395.717686,56688,135.413031985197
"CAN",0.81,54340.3477224733,32317366984.9627,568750,568.21744149385
"CHE",1.45,103998.186685604,5888174200.61352,14932.228,3943.26566712852
"CHL",1.03,16709.8893972307,12921250975.8143,106975.37,1207.87158537655
"CHN",0.96,13303.1481543868,1270079880349.97,5204130,2440.52296992959
"CIV",0.93,2727.8935220697,13815657481.8529,274993.096,502.400157778976
"CMR",1.03,1830.00833684727,9839607925.84558,98969,994.211109119581
"COD",1.49,649.383338556725,6837546542.47403,350956.638,194.825964296878
"COG",0.97,2482.2489948456,1484020092.78878,106514,139.326294457891
"COL",0.68,7919.20886825345,38878036435.8259,404830,960.35462875345
"CPV",1.02,NA,NA,NA,NA
"CRI",0.98,18587.1532203482,3396788401.44388,16923.326,2007.16360450888
"CUB",NA,9605.27914559614,2.965e+09,64010,463.208873613498
"CYP",NA,38674.29296875,434727077.898884,1289.963,3370.07400909083
"CZE",1.17,31823.3078290564,6590993603.77888,35344.14,1864.80519932834
"DEU",1.39,56103.7323182554,42844948475,165860,2583.19959453756
"DJI",1.32,3552.72335079222,104299733.852499,17039,61.2123562723745
"DNK",1.55,71026.4832271897,3938410354.45536,26210,1502.63653355794
"DOM",1.07,10875.6618443092,5535511934.47348,26679.089,2074.8504322893
"DZA",0.28,5752.99076651465,37596599118.4309,413447,909.345070067769
"ECU",0.61,6874.705739766,11814430700,53500,2208.30480373832
"EGY",0.4,3338.47371395895,53348334164.8371,40580,13146.45987305
"ERI",2,688.68165957684,262243902.439024,75920,34.5421367806934
"ESP",1.26,35326.7683069278,47507843534.375,247726.62,1917.75286541168
"EST",1.14,31428.3547816104,762048886.642969,9880,771.304541136608
"ETH",0.75,1133.88279681719,52070359092.7573,384569.33,1353.99146605782
"FIN",1.45,53149.7671934051,7369928611.71875,22620,3258.14704320015
"FRA",1.39,46103.0840855884,41079261216.3281,282972.45,1451.70532383375
"GAB",0.92,8230.04311451151,1370578110.80195,21532.36,636.520154224595
"GBR",1.46,53246.3676145108,23519500335.4917,170094.506,1382.73133498455
"GEO",0.76,9241.49122313713,1875441245.27402,23719,790.691532220591
"GHA",0.92,2390.77237652715,17191485762.4444,126037.4,1363.99876246609
"GIN",0.9,1694.95375862193,7742830635.00366,179938.91,430.303297658281
"GMB",1.18,871.340291776294,491404463.470743,6340,775.085904527986
"GNB",NA,1007.74151728028,935439713.593689,8405.305,1112.91584730559
"GNQ",NA,6745.40013244916,402003333.750598,1047.2,3838.84008547172
"GRC",1.54,24626.1481858973,9648688024.94843,53720.387,1796.09428817935
"GTM",0.79,6150.02571438505,11070841568.347,46120,2400.4426644291
"GUY",0.9,29675.2443873316,1879923261.39089,7200,2611.00452970957
"HKG",1.86,NA,NA,NA,NA
"HND",0.98,3426.43483328923,4161398705.01089,35760,1163.70209871669
"HRV",1.26,24050.4397933135,2692708413.38582,14860,1812.05142219773
"HTI",0.81,2142.62330526788,4000591528.91659,17950,2228.74179883933
"HUN",1.18,23292.3263882478,6038283705.04229,50830.46,1187.92623656018
"IDN",0.63,4925.43048751861,176054814059.639,551222.03,3193.90017956356
"IND",0.97,2694.73780859961,636742788037.657,1785710,3565.76817085449
"IRL",1.37,112894.953240805,6220377775.83906,41890,1484.93143371665
"IRN",0.4,5190.16959024821,51328977384.6191,470670,1090.55128613719
"IRQ",0.61,6073.61032342708,9492632384.61539,94774,1001.60723242824
"ISR",1.57,54176.6844383302,6928087916.61191,5367,12908.6788086676
"ITA",1.61,40385.3413957669,47551679943.3594,130875.57,3633.35036044996
"JOR",1.1,4618.09592498567,2703499295.77465,10240,2640.13603102993
"KAZ",0.42,14154.6324958076,11316113974.998,2142657,52.8134646609233
"KEN",0.95,2132.43452097647,27043723857.2442,287686.669,940.040911567029
"KGZ",0.56,2420.18542283831,1504459312.72788,103588.44,145.234286058162
"KHM",0.9,2627.87969756224,7683819250.32535,61543.397,1248.5204952735
