"quantity","value","where_quoted"
"TBA-country segments (treated)",929,"Methods: Transboundary aquifers"
"Control basins in pool",6304,"Methods: controls"
"Treated segments with irrigated cropland",562,"Methods: 'restricted to segments overlapping irrigated cropland'"
"Treated segments with nonzero GW irrigation",159,"Methods (UPDATED: was 207 from the pre-rebuild Data_S2)"
"Control basins with irrigated cropland",3320,"Methods: controls"
"Control basins with nonzero GW irrigation",1045,"Methods: controls"
"Non-overlapping control realizations",500,"Methods: ensemble"
"Median control-set size",2102,"Methods: ensemble"
"Treated segments within 50 km of a river border",624,"Methods: '| Rivers' adjustment"
"Control basins within 50 km of a river border",444,"Methods: '| Rivers' adjustment"
"Countries represented (treated segments)",143,"Methods: random intercepts"
