"specification","label","covariate","smd_pre","smd_post","flag"
"Irrigation","IrIntens","distance",0.219736243179223,0.000201786828475845,""
"Irrigation","IrIntens","lat_c",0.140879110571091,0.00039250778320177,""
"Irrigation","IrIntens","lon_c",0.037209272121942,-0.00195357110866137,""
"Irrigation","IrIntens","RDS_mainDist",0.0761679864337755,0.000725111747816602,""
"Irrigation","IrIntens","CS_max",0.120713969296886,-0.00183410688107416,""
"Overdraft","Overdraft","distance",0.219736243179223,0.000201786828475845,""
"Overdraft","Overdraft","lat_c",0.140879110571091,0.00039250778320177,""
"Overdraft","Overdraft","lon_c",0.037209272121942,-0.00195357110866137,""
"Overdraft","Overdraft","RDS_mainDist",0.0761679864337755,0.000725111747816602,""
"Overdraft","Overdraft","CS_max",0.120713969296886,-0.00183410688107416,""
"Irrig | Rivers","IrRivsInt","distance",0.219736243179223,0.000201786828475845,""
"Irrig | Rivers","IrRivsInt","lat_c",0.140879110571091,0.00039250778320177,""
"Irrig | Rivers","IrRivsInt","lon_c",0.037209272121942,-0.00195357110866137,""
"Irrig | Rivers","IrRivsInt","RDS_mainDist",0.0761679864337755,0.000725111747816602,""
"Irrig | Rivers","IrRivsInt","CS_max",0.120713969296886,-0.00183410688107416,""
"Irrigation","IrGini","distance",0.822934886367734,0.000769728781375241,""
"Irrigation","IrGini","lat_c",0.624163287767707,0.00255095923211017,""
"Irrigation","IrGini","lon_c",-0.032311261694914,-0.0013515288627875,""
"Irrigation","IrGini","RDS_mainDist",-0.397994333826773,-0.0114780935717839,""
"Irrigation","IrGini","giniCSI",0.48096656660848,-0.014668374783353,""
"Irrig | Rivers","IrRivsGini","distance",0.822934886367734,0.000769728781375241,""
"Irrig | Rivers","IrRivsGini","lat_c",0.624163287767707,0.00255095923211017,""
"Irrig | Rivers","IrRivsGini","lon_c",-0.032311261694914,-0.0013515288627875,""
"Irrig | Rivers","IrRivsGini","RDS_mainDist",-0.397994333826773,-0.0114780935717839,""
"Irrig | Rivers","IrRivsGini","giniCSI",0.48096656660848,-0.014668374783353,""
"GW Irrig.","GWGini","distance",1.01999900428336,-0.00433184982112782,""
"GW Irrig.","GWGini","lat_c",0.0528131486145639,0.167034500352666,"X"
"GW Irrig.","GWGini","lon_c",-0.486916749834646,-0.149066580863225,"X"
"GW Irrig.","GWGini","RDS_mainDist",-0.236067092824079,0.0661906900867094,""
"GW Irrig.","GWGini","giniCSI",0.972752862739161,-0.171192721355031,"X"
"GW Irrig. | Rivers","GWRivsGini","distance",1.01999900428336,-0.00433184982112782,""
"GW Irrig. | Rivers","GWRivsGini","lat_c",0.0528131486145639,0.167034500352666,"X"
"GW Irrig. | Rivers","GWRivsGini","lon_c",-0.486916749834646,-0.149066580863225,"X"
"GW Irrig. | Rivers","GWRivsGini","RDS_mainDist",-0.236067092824079,0.0661906900867094,""
"GW Irrig. | Rivers","GWRivsGini","giniCSI",0.972752862739161,-0.171192721355031,"X"
"Crop Suitability","CropSuitInt","distance",0.129584938417352,0.00370963683694514,""
"Crop Suitability","CropSuitInt","lat_c",0.0908159460584734,0.00546219368319242,""
"Crop Suitability","CropSuitInt","lon_c",0.0310589132339605,0.00219522290973424,""
"Crop Suitability","CropSuitInt","RDS_mainDist",0.0908828890224148,-7.13038946180652e-05,""
"Irrigation Need","IrNeedInt","distance",0.129584938417352,0.00370963683694514,""
"Irrigation Need","IrNeedInt","lat_c",0.0908159460584734,0.00546219368319242,""
"Irrigation Need","IrNeedInt","lon_c",0.0310589132339605,0.00219522290973424,""
"Irrigation Need","IrNeedInt","RDS_mainDist",0.0908828890224148,-7.13038946180652e-05,""
"Overdraft | Irrig","Overdraft_Irrig","distance",0.191195828891296,0.00788558655042281,""
"Overdraft | Irrig","Overdraft_Irrig","lat_c",0.0887216560876529,0.00474194894016993,""
"Overdraft | Irrig","Overdraft_Irrig","lon_c",0.0176530083533733,0.0033318653131113,""
"Overdraft | Irrig","Overdraft_Irrig","RDS_mainDist",0.0747624103056325,0.00891013682562439,""
"Overdraft | Irrig","Overdraft_Irrig","Ir",0.150406684523025,0.00340204940868243,""
"Overdraft (>6 mo)","Overdraft6","distance",0.219736243179223,0.000201786828475845,""
"Overdraft (>6 mo)","Overdraft6","lat_c",0.140879110571091,0.00039250778320177,""
"Overdraft (>6 mo)","Overdraft6","lon_c",0.037209272121942,-0.00195357110866137,""
"Overdraft (>6 mo)","Overdraft6","RDS_mainDist",0.0761679864337755,0.000725111747816602,""
"Overdraft (>6 mo)","Overdraft6","CS_max",0.120713969296886,-0.00183410688107416,""
"Irrigation (double robust)","IrIntDoubleRobust","distance",0.219736243179223,0.000201786828475845,""
"Irrigation (double robust)","IrIntDoubleRobust","lat_c",0.140879110571091,0.00039250778320177,""
"Irrigation (double robust)","IrIntDoubleRobust","lon_c",0.037209272121942,-0.00195357110866137,""
"Irrigation (double robust)","IrIntDoubleRobust","RDS_mainDist",0.0761679864337755,0.000725111747816602,""
"Irrigation (double robust)","IrIntDoubleRobust","CS_max",0.120713969296886,-0.00183410688107416,""
"Irrig. Gini (double robust)","IrGiniDoubleRobust","distance",0.822934886367734,0.000769728781375241,""
"Irrig. Gini (double robust)","IrGiniDoubleRobust","lat_c",0.624163287767707,0.00255095923211017,""
"Irrig. Gini (double robust)","IrGiniDoubleRobust","lon_c",-0.032311261694914,-0.0013515288627875,""
"Irrig. Gini (double robust)","IrGiniDoubleRobust","RDS_mainDist",-0.397994333826773,-0.0114780935717839,""
"Irrig. Gini (double robust)","IrGiniDoubleRobust","giniCSI",0.48096656660848,-0.014668374783353,""
"GW Irrig. (GWf > 0)","GWShareGt0","distance",1.11362565344776,0.00613972527870487,""
"GW Irrig. (GWf > 0)","GWShareGt0","lat_c",0.108824399797134,-0.0680824187194709,""
"GW Irrig. (GWf > 0)","GWShareGt0","lon_c",-0.47358849371351,0.0038084431758566,""
"GW Irrig. (GWf > 0)","GWShareGt0","RDS_mainDist",-0.400678746986314,-0.161631953109524,"X"
"GW Irrig. (GWf > 0)","GWShareGt0","giniCSI",0.896268008320695,-0.104661496544859,"X"
"Irrigation (excl. river borders)","IrIntens_exRiv","distance",0.539307710551081,0.00917436472519573,""
"Irrigation (excl. river borders)","IrIntens_exRiv","lat_c",0.681722870789524,0.00233669806987542,""
"Irrigation (excl. river borders)","IrIntens_exRiv","lon_c",-0.21225474658236,0.0170896538093221,""
"Irrigation (excl. river borders)","IrIntens_exRiv","RDS_mainDist",0.222597483884626,0.0281241670912306,""
"Irrigation (excl. river borders)","IrIntens_exRiv","CS_max",-0.149798088575226,0.0291624546358427,""
"Irrig. Gini (excl. river borders)","IrGini_exRiv","distance",1.17882830810683,0.00338362508192878,""
"Irrig. Gini (excl. river borders)","IrGini_exRiv","lat_c",1.55358434517901,-0.0236609393989474,""
"Irrig. Gini (excl. river borders)","IrGini_exRiv","lon_c",-0.424926377688826,-0.0172599503771237,""
