"specification","label","outcome","group","total","n_requested","n_failed","n_sig","n_pos_sig","n_neg_sig","share_sig","share_pos_sig","share_neg_sig","n_int_sig","n_int_pos_sig","n_int_neg_sig","mean_eff","med_eff","q05_eff","q95_eff"
"Irrigation","IrIntens","Ir","main_intensity",500,500,0,498,498,0,0.996,0.996,0,500,500,0,0.0127332371254592,0.0126981437346213,0.00937780850372045,0.0161563321739029
"Overdraft","Overdraft","OverIR3","main_intensity",500,500,0,500,500,0,1,1,0,358,358,0,0.0144310547763402,0.0144620699670699,0.0117299969638749,0.0172043522699471
"Irrig | Rivers","IrRivsInt","Ir","main_intensity",500,500,0,265,265,0,0.53,0.53,0,500,500,0,0.00937150788323411,0.00941676929911219,0.00494525590038549,0.0141761632557364
"Irrigation","IrGini","giniIr","main_gini",500,500,0,327,0,327,0.654,0,0.654,125,119,6,-0.0639543167239673,-0.063860184984116,-0.115239133679751,-0.0117262364371562
"Irrig | Rivers","IrRivsGini","giniIr","main_gini",500,500,0,69,17,52,0.138,0.034,0.104,155,153,2,-0.0104189292954392,-0.0105541683457548,-0.0800280400680621,0.0600762947438124
"GW Irrig.","GWGini","giniGw","main_gini",500,500,0,206,1,205,0.412,0.002,0.41,37,15,22,-0.119217455626117,-0.119580476931384,-0.245048928782659,0.01468304660256
"GW Irrig. | Rivers","GWRivsGini","giniGw","main_gini",500,500,0,316,0,316,0.632,0,0.632,41,6,35,-0.204725377680333,-0.207462265024546,-0.376120659032415,-0.0308731199091412
"Crop Suitability","CropSuitInt","CS_max","si",500,500,0,21,0,21,0.042,0,0.042,500,500,0,-100.457828029354,-101.943161062451,-228.410799848884,27.817246357314
"Irrigation Need","IrNeedInt","IrNeed3","si",500,500,0,105,105,0,0.21,0.21,0,500,500,0,0.0106846388359616,0.0109524514340578,0.00286229567394134,0.017608240655888
"Overdraft | Irrig","Overdraft_Irrig","OverIR3","si",500,500,0,398,398,0,0.796,0.796,0,500,500,0,0.00857950956137679,0.00865135309814187,0.00469481859412338,0.0123596526107617
"Overdraft (>6 mo)","Overdraft6","OverIR6","si",500,500,0,500,500,0,1,1,0,27,27,0,0.00953636434436167,0.00947183047022204,0.00736123369066617,0.0117312263024084
"Irrigation (double robust)","IrIntDoubleRobust","Ir","si",500,500,0,498,498,0,0.996,0.996,0,499,499,0,0.013213115341417,0.0131724550307165,0.0099127921565017,0.0166058355989001
"Irrig. Gini (double robust)","IrGiniDoubleRobust","giniIr","si",500,500,0,323,0,323,0.646,0,0.646,126,123,3,-0.0636131626597083,-0.062478464637298,-0.113220821068481,-0.0126917775652384
"GW Irrig. (GWf > 0)","GWShareGt0","gini_gwpct_gt0","si",500,500,0,136,1,135,0.272,0.002,0.27,87,79,8,-0.0705732566218403,-0.0679025788742166,-0.178138947802103,0.0375192371527884
"Irrigation (excl. river borders)","IrIntens_exRiv","Ir","robust",500,500,0,0,0,0,0,0,0,500,500,0,-0.00137475589907757,-0.0012754299306363,-0.00634236481595707,0.003824783977964
"Irrig. Gini (excl. river borders)","IrGini_exRiv","giniIr","robust",500,500,0,17,8,9,0.034,0.016,0.018,34,29,5,-0.00608326581308206,-0.00696697263305459,-0.0706643373103655,0.0617177304694105
"GW Gini (excl. river borders)","GWGini_exRiv","giniGw","robust",500,500,0,209,7,202,0.418,0.014,0.404,69,3,66,-0.131901844362636,-0.123164361648758,-0.34684683052781,0.0646740437312742
