"specification","label","outcome","est_lmer","se_model","p_model","est_ols","se_cr2","p_cr2","df_cr2","int_lmer","int_se","int_p","n_treat","n_control","n_country","mean_smd","max_smd","ess_ratio","same_country_w","realization","realization_legacy_rule"
"Crop Suitability","CropSuitInt","CS_max",-142.05723173024,144.863897559595,0.326935920380725,273.644874003014,315.708754231771,0.39083560180889,43.4262744155604,6462.44822193723,214.836295244791,9.21228025312222e-71,562,943,143,0.00257624016251491,0.00546219368319242,1.03272523117249,0.0711453186987004,29,29
"Irrigation Need","IrNeedInt","IrNeed3",0.00779988360939732,0.0088860272900857,0.380211235172617,0.013317339582968,0.0195932706961757,0.500308387957628,43.4262744155604,0.0924980543812774,0.0102705688836489,1.71646503925812e-16,562,943,143,0.00257624016251491,0.00546219368319242,1.03272523117249,0.0711453186987004,29,29
"Overdraft | Irrig","Overdraft_Irrig","OverIR3",0.01082648510698,0.00388060075623382,0.00534042630250382,0.0104537546437686,0.0102639893825507,0.3142676903694,42.0685518317044,0.00969346251390641,0.00408848273519785,0.0185343536611599,562,968,144,0.00509650012189701,0.00891013682562439,1.00623704055186,0.0319132157877709,126,126
"Overdraft (>6 mo)","Overdraft6","OverIR6",0.0106911389074151,0.0026510040659817,5.79563839208831e-05,0.0123535413681075,0.00750382217956202,0.107664354574655,39.363156065153,0.0028035086320279,0.0027038614481953,0.30086039775536,562,956,143,0.00122632438018848,0.00195357110866137,0.950249196853449,0.0318378240976103,398,398
"Irrigation (double robust)","IrIntDoubleRobust","Ir",0.0138131264968061,0.00412577204442534,0.000834211278379503,0.0162523487482533,0.012864714810713,0.213927762997499,39.2319780966033,0.0247002069039914,0.00702823779774496,0.000471525522777977,562,956,143,0.00122632438018848,0.00195357110866137,0.950249196853449,0.0318378240976103,398,398
"Irrig. Gini (double robust)","IrGiniDoubleRobust","giniIr",-0.0662333382619318,0.0275741534516687,0.0174548864794001,-0.075412887220573,0.0333848944842899,0.0461082218165807,10.5681353730814,0.0167706522135809,0.0208207623604697,0.423931275532395,354,461,105,0.00751223911250863,0.014668374783353,0.319384087935886,0.0258945386064029,102,102
"GW Irrig. (GWf > 0)","GWShareGt0","gini_gwpct_gt0",-0.0618813097710862,0.0762210132263878,0.418276433596459,-0.0140707001168872,0.134823518939007,0.923230574121597,3.11987297473248,0.0254850058424538,0.0682330388789281,0.710636509637745,73,110,41,0.0845460778874277,0.161631953109524,0.248404934070608,0.012937595129376,70,70
"Irrigation (excl. river borders)","IrIntens_exRiv","Ir",-0.00114119476681479,0.00659963774756492,0.862765590448686,-0.00418264335332306,0.00941740408770011,0.660502859484095,26.8332554263349,0.026989178202472,0.00460327758492804,7.83453115479881e-08,148,842,104,0.0191782434015677,0.0291624546358427,1.57669198536394,0.029674974094111,349,349
"Irrig. Gini (excl. river borders)","IrGini_exRiv","giniIr",-0.0674983166001514,0.048263257446942,0.163240892090777,-0.105041832627494,0.0541436504078703,0.0741914164175423,13.1103078849985,0.0448893359971902,0.0307983524278852,0.150750253764407,96,427,78,0.0129003067473914,0.0236609393989474,0.862841279866701,0.0101315844715629,1,1
"GW Gini (excl. river borders)","GWGini_exRiv","giniGw",-0.0187396656925357,0.100916133670177,0.853484410275459,-0.07300671637924,0.107773598269284,0.564166533705272,2.1331459601225,-0.0691122968137443,0.0742272212495192,0.379303498306616,25,108,25,0.0703881712309277,0.118587252475594,0.3487812700449,0.311724137931035,261,218
