"Variable","Zeros","Q25","Median","Q75","NAs"
"Irrig",367,0.0397876678090595,0.337566322806485,3.03534772277624,NA
"GWIrrig",770,0.0218932387637808,0.137370314923685,1.10463081090768,NA
"IrrigNeed",333,0.238404542830119,3.32244717589588,21.3640912205462,NA
"Overdraft",686,0.0610704573454437,1.01703879672902,9.33794940462674,NA
"G_Irrig",NA,-0.331620038362379,-0.0210572112908212,0.19069577553785,283
"G_IrrigGW",NA,-0.560173080876737,-0.138704532705444,0.213781867353128,751
"G_IrrigNeed",NA,-0.295771903040941,0.00327516584599174,0.220315608230006,457
"area_km2",0,311.56608963427,1999.63941303231,12538.1938729248,NA
"CSI",4,5296.70684358111,7350.57887278131,8581.29060357966,NA
"G_CSI",NA,-0.494776509056335,0.332551883021277,0.84212293885072,374
"RDS_mainDist",231,2.03666915172111,8.98549280939086,34.0918104006834,NA
"NearRiverBorder",NA,NA,NA,NA,624
