system:index,Area,CC,CR,CR3,CntryNm,GW,GW3,IR,IR3,Region,UR,aq_id,code,countrs,name,.geo
000000000000000001d6,7.599084583894608E8,GTM,0.1148203255646557,0.1148203255646557,Guatemala,5.164742270447121E-4,3.722042479393092E-4,0.005929902000741495,0.004373647963613805,AMER,8.145970435122551,208,C001,Guatemala; Mexico,Soconusco-Suchiate / Coat�n,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001d7,9.385561940985296E8,MEX,0.3061670931743935,0.3055278649744887,Mexico,0.0037042805430066808,0.0037042805430066808,0.0406792953791881,0.0406792953791881,AMER,4.20005359629902,208,C001,Guatemala; Mexico,Soconusco-Suchiate / Coat�n,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001d8,6.018712358100487E8,GTM,0.0026246123423235204,0.001822793488600609,Guatemala,0.0,0.0,0.0,0.0,AMER,1.9934642401715688,207,C002,Guatemala; Mexico,Chicomuselo-Cuilco / Selegua,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001d9,5.863350578090687E8,MEX,0.03294244226073329,0.011695184007071781,Mexico,2.2888584193377353E-5,2.2888584193377353E-5,0.003302888027518834,0.003302888027518834,AMER,0.7837344241911766,207,C002,Guatemala; Mexico,Chicomuselo-Cuilco / Selegua,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001da,2.381394681278431E9,GTM,0.10119619111890689,1.0532325541917216E-4,Guatemala,0.0,0.0,0.0,0.0,AMER,0.18765326291666665,206,C003,Guatemala; Mexico,Ocosingo-Usumacinta-Poc�m-Ixc�n,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001db,2.2370121168656864E9,MEX,0.006075006200554398,0.0,Mexico,0.0,0.0,0.0,0.0,AMER,0.45803634022058826,206,C003,Guatemala; Mexico,Ocosingo-Usumacinta-Poc�m-Ixc�n,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001dc,1.0279639047188716E9,GTM,0.05967780653380175,0.0,Guatemala,0.0,0.0,0.0,0.0,AMER,0.5014614575,205,C004,Guatemala; Mexico,M�rquez de Comillas-Chixoy / Xaclbal,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001dd,1.1470160630772061E9,MEX,0.01624572431924371,0.0,Mexico,0.0,0.0,0.0,0.0,AMER,0.24675522500000002,205,C004,Guatemala; Mexico,M�rquez de Comillas-Chixoy / Xaclbal,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001de,2.1239214420642173E9,GTM,1.7582612961699514E-4,0.0,Guatemala,0.0,0.0,0.0,0.0,AMER,0.0,288,C005,Guatemala; Mexico,Boca del Cerro-San Pedro,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001df,2.562976374026225E9,MEX,0.004995671918879299,0.0,Mexico,0.0,0.0,0.0,0.0,AMER,0.0,288,C005,Guatemala; Mexico,Boca del Cerro-San Pedro,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001e0,3.3080383392475486E8,GTM,0.03882374810443409,0.03224478886431316,Guatemala,0.0,0.0,4.983700011390229E-4,0.0,AMER,0.014615281544117646,204,C006,Guatemala; Mexico,Trinitaria-Nent�n,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001e1,4.0889059270539224E8,MEX,0.31528638383155666,0.2266546426561563,Mexico,0.0016499435270941026,0.0016452582113800729,0.06668011424497731,0.0645981374084755,AMER,0.1172970031617647,204,C006,Guatemala; Mexico,Trinitaria-Nent�n,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001e2,1.7183696509955885E9,BLZ,0.5147102163980579,0.18085558331061094,Belize,0.02437156839982168,0.02057191359226211,0.02479543001209272,0.020938537660100835,AMER,0.44708749708333334,365,C007,Belize; Guatemala; Mexico,Pen�nsula de Yucat�n-Candelaria-Hondo,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001e3,6.526873253872554E8,GTM,0.0,0.0,Guatemala,0.0,0.0,0.0,0.0,AMER,0.0,365,C007,Belize; Guatemala; Mexico,Pen�nsula de Yucat�n-Candelaria-Hondo,"{""type"":""MultiPoint"",""coordinates"":[]}"
