"Variable","class","mean","se","letters"
NA,"BL",0.0704746170600368,0.0299073080882518,"ab"
NA,"DA",0.132098507031284,0.0180764400483161,"a"
NA,"UB",0.0710679684031785,0.0165391941545576,"b"
NA,"IU1",0.0289143331707608,0.0112425729400722,"b"
NA,"IU0",3.80188952699017e-05,2.50557636106269e-05,"ab"
"FBW","BL",0.620925715458372,0.0612445155370982,"a"
"FBW","DA",0.383284861662763,0.0365366653121,"b"
"FBW","UB",0.18615563158388,0.0278005122615464,"c"
"FBW","IU1",0.317439783343705,0.047674771095081,"bc"
"FBW","IU0",0.153068851015454,0.103686489563869,"bc"
