"Variable","class","mean","se","letters"
NA,"BL",0.0106030752227251,0.00541131749508351,"b"
NA,"DA",0.121338399848699,0.0168817049589907,"a"
NA,"UB",0.0809048225815691,0.0173435316316538,"ab"
NA,"IU1",0.0303150078435234,0.0112572157266378,"b"
NA,"IU0",0.000287421990594845,0.000252635278757965,"ab"
"FBW","BL",0.648184411191833,0.0977623201735675,"a"
"FBW","DA",0.404431556774073,0.0347232413391197,"b"
"FBW","UB",0.20735067890816,0.0284605252544241,"c"
"FBW","IU1",0.330752531830297,0.0482322767945213,"bc"
"FBW","IU0",0.178605353446308,0.0964795013917847,"bc"
