"Variable","class","mean","se","letters"
"FGW","BL",0.0720198085226083,0.0305386250136096,"ab"
"FGW","DA",0.122368448436025,0.0172075140037876,"a"
"FGW","UB",0.0809048225815691,0.0173435316316538,"ab"
"FGW","IU1",0.0303150078435234,0.0112572157266378,"b"
"FGW","IU0",0.000287421990594845,0.000252635278757965,"ab"
"FBW","BL",0.620128349942205,0.0626156611643141,"a"
"FBW","DA",0.359519596963201,0.0371222707982381,"b"
"FBW","UB",0.20735067890816,0.0284605252544241,"c"
"FBW","IU1",0.330752531830297,0.0482322767945213,"bc"
"FBW","IU0",0.178605353446308,0.0964795013917847,"bc"
