"Variable","class","mean","se","letters"
NA,"BL",0.0413823916755109,0.0183898835855688,"b"
NA,"DA",0.131483527047536,0.0181018055723037,"a"
NA,"UB",0.0778563003238299,0.0198208353522911,"ab"
NA,"IU1",0.0327786255791594,0.0106911643247731,"b"
NA,"IU0",0.000775683232984814,0.000763064998839724,"ab"
"FBW","BL",0.552817742199285,0.0509277363417372,"a"
"FBW","DA",0.292062866210443,0.0295425035327883,"b"
"FBW","UB",0.205865228040151,0.0328874518271492,"b"
"FBW","IU1",0.279965398590543,0.0467029509742743,"b"
"FBW","IU0",0.0956422719535276,0.0956422719535276,"b"
