"Variable","class","mean","se","letters"
"FGW","BL",0.0559094278457423,0.0185541648886586,"b"
"FGW","DA",0.118288531694255,0.0160359590900635,"a"
"FGW","UB",0.0778400781666372,0.0219428018871068,"ab"
"FGW","IU1",0.0354178023338266,0.0137370888523225,"b"
"FGW","IU0",0.000715474080269844,0.000711089668076356,"ab"
"FBW","BL",0.434712494840849,0.0454796554250859,"a"
"FBW","DA",0.326663762320621,0.0329472182217146,"a"
"FBW","UB",0.190652919300935,0.0337851121887331,"b"
"FBW","IU1",0.342787892387953,0.054542668380671,"ab"
"FBW","IU0",0.132729747212573,0.132729747212573,"ab"
