"Variable","class","mean","se","letters"
"FGW","BL",0.114240370582272,0.0217900428867222,"a"
"FGW","DA",0.0980177382369529,0.0187072686908057,"ab"
"FGW","UB",0.0809048225815691,0.0173435316316538,"ab"
"FGW","IU1",0.0303150078435234,0.0112572157266378,"b"
"FGW","IU0",0.000287421990594845,0.000252635278757965,"ab"
"FBW","BL",0.455843570367427,0.044032909809152,"a"
"FBW","DA",0.399524313693031,0.0503487871476443,"ab"
"FBW","UB",0.20735067890816,0.0284605252544241,"c"
"FBW","IU1",0.330752531830297,0.0482322767945213,"abc"
"FBW","IU0",0.178605353446308,0.0964795013917847,"bc"
