key,description,value,unit,source,location
nDyads,transboundary aquifer dyads,568,dyads,dyad table,"Methods, typology"
nCountries,countries appearing in at least one dyad,142,countries,dyad table,"Methods, typology"
nAquifers,aquifers with at least one dyad,409,aquifers,dyad table,"Methods, typology"
nIU0,dyads classified IU0,87,dyads,classification,"Results, typology"
shareIU0,share of dyads classified IU0,15.3,%,classification,"Results, typology"
nIU1,dyads classified IU1,111,dyads,classification,"Results, typology"
shareIU1,share of dyads classified IU1,19.5,%,classification,"Results, typology"
nUB,dyads classified UB,205,dyads,classification,"Results, typology"
shareUB,share of dyads classified UB,36.1,%,classification,"Results, typology"
nDA,dyads classified DA,125,dyads,classification,"Results, typology"
shareDA,share of dyads classified DA,22,%,classification,"Results, typology"
nBL,dyads classified BL,40,dyads,classification,"Results, typology"
shareBL,share of dyads classified BL,7,%,classification,"Results, typology"
nInterior,interior dyads (IU0 + IU1),198,dyads,classification,"Results, typology"
shareInterior,share of dyads that are interior,34.9,%,classification,"Results, typology"
shareInteriorUrban,share interior or urban-border (IU + UB),71,%,classification,"Results, typology"
nFIU0,dyads classified IU0 under the future scenario,74,dyads,future classification,"Results, typology"
nFIU1,dyads classified IU1 under the future scenario,91,dyads,future classification,"Results, typology"
nFUB,dyads classified UB under the future scenario,105,dyads,future classification,"Results, typology"
nFDA,dyads classified DA under the future scenario,211,dyads,future classification,"Results, typology"
nFBL,dyads classified BL under the future scenario,87,dyads,future classification,"Results, typology"
blGrowth,factor increase in BL under the future scenario,2.17,x,future classification,"Results, typology"
daGrowth,factor increase in DA under the future scenario,1.69,x,future classification,"Results, typology"
epsHa,"detection threshold, groundwater-irrigated cropland",10,ha,51_config.R,"Methods, typology"
epsHaUrban,"detection threshold, urban land",1,ha,51_config.R,"Methods, typology"
threshPct,concentration threshold for BL,99,%,51_config.R,"Methods, typology"
tukeyConf,Tukey HSD confidence level,95,%,51_config.R,Fig. 4 caption
nUnchanged,dyads keeping their class in the future scenario,406,dyads,future classification,"Results, typology"
