code,CC_1,CC_2,name,measured,class_in,class_out,classF_in,classF_out,near_share_in,near_share_out,changed,changedF,audit_t1,audit_t12,audit_from,audit_to,audit_from_stale
AS010,IRQ,TUR,Upper Jezira,TRUE,BL,DA,BL,DA,0.9963671862445872,0.18143861924893942,TRUE,TRUE,FALSE,FALSE,NA,NA,NA
AF009,BWA,ZWE,Tuli Karoo Sub-Basin,TRUE,IU1,IU1,BL,DA,1,0.22184016177854843,FALSE,TRUE,TRUE,TRUE,IU1,UB,FALSE
AF052,NER,TCD,Lake Chad sedimentary basin / Bassin sédimentaire du Lac Tchad,TRUE,DA,UB,DA,UB,0.6872856290261008,0,TRUE,TRUE,FALSE,FALSE,NA,NA,NA
EB067 - EB069,BGR,MKD,Sandansky-Petrich Aquifer ; Sandansky Valley Aquifer ; Petrich Valley Aquifer,TRUE,IU1,IU1,BL,DA,0.9930013203373411,0.4704278381705421,FALSE,TRUE,FALSE,TRUE,IU1,UB,FALSE
EB067 - EB069,GRC,MKD,Sandansky-Petrich Aquifer ; Sandansky Valley Aquifer ; Petrich Valley Aquifer,TRUE,BL,DA,DA,DA,1,0.6311971604036315,TRUE,FALSE,FALSE,FALSE,NA,NA,NA
AS002,EGY,PSE,Coastal Aquifer Basin,TRUE,BL,DA,BL,DA,1,0.7080977486870516,TRUE,TRUE,FALSE,FALSE,NA,NA,NA
AS001,EGY,PSE,Western Mountain Aquifer,TRUE,BL,DA,DA,DA,1,0.7581307019469811,TRUE,FALSE,FALSE,FALSE,NA,NA,NA
AS128,IRQ,SAU,Neogene Aquifer System (South-East): Dibdibba-Kuwait Group,TRUE,UB,IU1,DA,IU1,0.15478147375357512,0,TRUE,TRUE,FALSE,FALSE,NA,NA,NA
AF052,NGA,TCD,Lake Chad sedimentary basin / Bassin sédimentaire du Lac Tchad,TRUE,DA,UB,DA,DA,0.047578034481944614,0,TRUE,FALSE,FALSE,FALSE,NA,NA,NA
AS141,OMN,YEM,Umm er Radhuma-Dammam Aquifer System (South): Rub' al Khali,TRUE,IU1,IU0,IU1,IU0,0.04053378099383017,0,TRUE,TRUE,FALSE,FALSE,NA,NA,NA
AF069,DZA,LBY,North-Western Sahara Aquifer System / Système Aquifère du Sahara Septentrional,TRUE,DA,IU1,DA,IU1,0.014829672234328151,0,TRUE,TRUE,FALSE,FALSE,NA,NA,NA
