"column","code","CC_1","CC_2","segment","dyad","rel_excess"
"UR_B1_2","AF081","AGO","COD",0,2.65845027115196,Inf
"GW3_B2_1","AS140","QAT","SAU",0,0.0142244536832125,Inf
"IR3_B2_1","AS140","QAT","SAU",0,0.0152299697158002,Inf
"UR_B2_2","AS140","QAT","SAU",0,17.8461160565686,Inf
"CR3_B2_1","AS140","QAT","SAU",0.0148286121548022,0.0497072090739526,2.35211471950563
"UR_B1_1","AS124","IRQ","SYR",0.871651546127451,1.30153421522059,0.493181789217271
"IR_B1_2","EU095 - EU098","LTU","RUS",0.000223781737616874,0.000314255011833768,0.404292482399923
"GW_B1_2","EU095 - EU098","LTU","RUS",4.80892422713083e-05,6.61838790200323e-05,0.37627202871358
"GW3_B1_2","AF052","NER","NGA",0.00583753583265378,0.00784821251707995,0.344439287752021
"UR_B1_1","C007","BLZ","MEX",0.447087497083333,0.600319419583333,0.342733633795712
"GW_B1_2","AF052","NER","NGA",0.00608498070766783,0.00807825205596703,0.327572336554401
"GW_B2_1","AS140","QAT","SAU",0.0547593046532035,0.0726371614879101,0.326480713148732
"IR_B2_1","AS140","QAT","SAU",0.0586302087917894,0.0777718378580852,0.326480656657263
"Area_B2_1","AS140","QAT","SAU",8338221095.34608,10441072982.3877,0.252194306554831
"Area_B1_2","AF081","AGO","COD",1831652209.67255,2077824917.55319,0.134399263452228
"Area_B2_1","AF081","AGO","COD",11467335208.0463,12852070930.7637,0.120754795913333
"UR_B1_2","AF026","BDI","COD",3.60965748125,3.91646710664215,0.084996880448033
"IR3_B1_2","AF052","NER","NGA",0.108540086474266,0.117362907003133,0.0812862861589736
"UR_B1_1","AF046","ETH","SSD",2.22891188877451,2.39856287176471,0.0761138131321433
"UR_B1_2","EU095 - EU098","LTU","POL",0.41119478125,0.440919729264706,0.0722892151606214
"IR_B1_2","AF052","NER","NGA",0.119358824007991,0.127663772383698,0.0695796766157053
"UR_B1_2","AS128","KWT","SAU",0.1751801125,0.18617197745098,0.0627460777032005
"UR_B1_2","AS130","KWT","SAU",0.1751801125,0.18617197745098,0.0627460777032005
"Area_B1_1","AF053","CAF","SDN",1327056185.52377,1408464735.02672,0.0613452168724977
"UR_B1_1","AS001","EGY","PSE",3.08850246034314,3.25665979879902,0.0544462374937522
"UR_B1_1","AS002","EGY","PSE",3.08850246034314,3.25665979879902,0.0544462374937522
"CR3_B1_1","AF058","GNB","SEN",0.039948953554627,0.0419304939101829,0.0496018087894676
"CR3_B1_1","AF048","GHA","TGO",1.70745744306064,1.78790196468524,0.0471136319979983
"Area_B1_2","AS035","KAZ","TKM",3575652360.90196,3740133057.77745,0.0460001924890709
"GW_B1_1","AS002","EGY","PSE",0.0464243228226042,0.0485517651694016,0.0458260286300076
"GW3_B1_1","AS002","EGY","PSE",0.0464243228226042,0.0485517651694016,0.0458260286300076
"IR_B1_1","AS002","EGY","PSE",0.0465919474944618,0.0487193898412592,0.045661159517967
"IR3_B1_1","AS002","EGY","PSE",0.0465919474944618,0.0487193898412592,0.045661159517967
"CR3_B1_2","EB067 - EB069","BGR","GRC",0.304608561210993,0.318193197555327,0.0445970273794245
"GW3_B2_1","AF069","DZA","TUN",0.171327533801237,0.178910128676797,0.0442578884276514
"Area_B1_2","AF064","MLI","MRT",8877648723.33039,9268027203.18211,0.043973183893367
"UR_B1_2","AF056","NER","NGA",15.0908332620833,15.7316274338726,0.0424624777612044
"UR_B1_1","EU099","LTU","LVA",3.18396089375,3.31479412995098,0.0410913452039565
"IR3_B2_1","AF069","DZA","TUN",0.196552424590283,0.204450922497803,0.0401851970230571
"Area_B1_1","AS001","EGY","ISR",432450690.288725,449796493.062255,0.0401104753976667
"CR3_B1_1","EU099","LTU","LVA",4.89737990615716,5.09027665797632,0.0393877451852653
"UR_B1_1","AF048","GHA","TGO",8.3232807882598,8.60607758762255,0.0339766020823957
"CR3_B1_2","EU095 - EU098","LTU","RUS",0.942731006439733,0.972510284797321,0.0315883090236426
"Area_B1_1","AF058","GNB","SEN",2571924245.84216,2651115763.20417,0.0307907658983468
"GW_B2_1","AF069","DZA","TUN",0.247882825285933,0.255465420161493,0.0305894321916553
"UR_B1_2","EU095 - EU098","LTU","RUS",2.48945002169118,2.56217733012255,0.0292142070729191
"IR_B2_1","AF069","DZA","TUN",0.283918360467327,0.291816858374847,0.0278196094628016
"Area_B1_2","EB067 - EB069","BGR","GRC",213785540.004902,219404482.431863,0.026283079888527
"UR_B1_1","AS001","ISR","PSE",40.5403749137254,41.562314593652,0.0252079484242895
"CR3_B1_2","AF052","NER","NGA",32.6798377739361,33.5013761918926,0.0251389992704221
"Area_B1_2","AS091","LAO","THA",6310037434.99755,6466265812.04142,0.0247587084313288
"Area_B1_1","AF048","GHA","TGO",345183805.648039,353257883.086274,0.0233906611669612
"UR_B1_2","EU336","DEU","FRA",24.0554708723529,24.5356444096078,0.0199610949127909
"CR3_B1_2","AS091","LAO","THA",14.7716936654287,15.0557355782333,0.0192287979454513
"IR_B1_2","AS091","LAO","THA",1.74045666998708,1.76989756449297,0.0169156147427159
"GW_B1_2","AS091","LAO","THA",0.0381736237857106,0.0388075101023761,0.0166053482431707
"Area_B1_1","AF046","KEN","SSD",1257174629.10662,1277258414.20539,0.0159753343996807
"GW3_B1_2","AF058","MRT","SEN",0.125784959225244,0.1276049881915,0.0144693688137805
"IR3_B1_2","AF058","MRT","SEN",1.52648220587092,1.54779958794512,0.0139650380411998
"CR3_B1_2","EU336","DEU","FRA",0.554350457868047,0.562066525475798,0.0139191147012412
"GW_B1_2","AF058","MRT","SEN",0.128202020887098,0.129922494610426,0.0134200203040757
"Area_B1_2","EU336","DEU","FRA",1763745716.11495,1787298262.36201,0.0133537085487245
"UR_B1_1","AS141","ARE","OMN",22.2226136309804,22.5163843597059,0.0132194499532661
"CR3_B2_1","AF069","DZA","TUN",0.562544591984403,0.569866832800075,0.0130162851443343
"IR3_B1_2","AS123","SYR","TUR",0.32465832113629,0.328814211759779,0.0128008135104725
"IR_B1_2","AF058","MRT","SEN",1.55581866072087,1.57502448857391,0.0123445156803439
"IR3_B1_1","AF052","CMR","TCD",0.0399956786695155,0.0404776173103563,0.012049767796743
"GW3_B1_1","AF052","CMR","TCD",0.00015590403809143,0.00015774333214233,0.0117976036632326
"CR3_B1_1","EU099","BLR","LVA",0.0830317786378598,0.0839092518413801,0.0105679201134226
"Area_B1_1","AF027","AGO","COD",928812387.144853,937273329.542157,0.00910942028164863
"GW_B1_2","EU336","DEU","FRA",0.83474630772996,0.841344154135671,0.00790401388375495
"IR_B1_2","EU336","DEU","FRA",1.06905949387904,1.07744125452467,0.00784031262396745
"IR3_B1_2","AS091","LAO","THA",1.06366158794189,1.07199586658468,0.00783546076804065
"IR_B1_1","AF052","CMR","TCD",0.0538702297361664,0.0542880075014575,0.00775526236545021
"Area_B1_1","EU099","LTU","LVA",3898463898.47745,3928325403.91054,0.00765981325227894
"GW3_B1_1","AS141","ARE","OMN",0.195511608614416,0.196947211262122,0.00734280004077781
"IR3_B1_1","AS141","ARE","OMN",0.198577297390672,0.200012900038379,0.00722943995396697
"CR3_B1_2","AS118","MMR","THA",1.04556874856476,1.05299124898553,0.00709900753151027
"GW_B1_1","AF052","CMR","TCD",0.000266531022831539,0.000268370316882439,0.00690086291404302
"IR3_B2_2","AF056","NER","NGA",0.20101114394715,0.202261910645096,0.00622237490611166
"GW3_B2_2","AF056","NER","NGA",0.0458094767059027,0.0460945198371912,0.00622236165495749
"CR3_B1_1","AS002","EGY","PSE",0.0725249606881947,0.0729703752470764,0.00614153464759148
"CR3_B1_1","AS141","ARE","OMN",0.389539124177958,0.391879127774785,0.00600710801967486
"GW_B1_2","AS158","IND","PAK",21.8224792541859,21.9224718807806,0.00458209286992584
