code,CC_1,CC_2,name,measured,class_in,class_out,classF_in,classF_out,near_share_in,near_share_out,changed,changedF,audit_t1,audit_t12,audit_from,audit_to,audit_from_stale
AF001,LSO,ZAF,Karoo Sedimentary Aquifer,FALSE,UB,UB,BL,BL,0.5188557094450872,0.5188557094450872,FALSE,FALSE,TRUE,TRUE,UB,DA,FALSE
AF002,NAM,ZAF,Coastal Sedimentary Basin V,FALSE,IU0,IU0,IU0,IU0,1,1,FALSE,FALSE,TRUE,TRUE,IU0,UB,FALSE
AF003,MOZ,ZAF,Coastal Sedimentary Basin VI,FALSE,IU1,IU1,IU1,IU1,NA,NA,FALSE,FALSE,TRUE,TRUE,IU1,UB,FALSE
AF004,MOZ,SWZ,Rhyolite-Breccia Aquifer,TRUE,UB,UB,UB,UB,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA
AF004,SWZ,ZAF,Rhyolite-Breccia Aquifer,TRUE,IU1,IU1,IU1,IU1,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA
AF005,BWA,NAM,Stampriet Transboundary Aquifer System,TRUE,IU0,IU0,IU0,IU0,NA,NA,FALSE,FALSE,TRUE,TRUE,IU0,IU1,FALSE
AF005,BWA,ZAF,Stampriet Transboundary Aquifer System,TRUE,IU0,IU0,IU0,IU0,NA,NA,FALSE,FALSE,TRUE,TRUE,IU0,IU1,FALSE
AF005,NAM,ZAF,Stampriet Transboundary Aquifer System,TRUE,IU0,IU0,IU0,IU0,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA
AF006,BWA,ZAF,Khakhea-Bray Dolomite Transboundary Aquifer,FALSE,IU1,IU1,IU1,IU1,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA
AF007,BWA,ZAF,Ramotswa,FALSE,UB,UB,UB,UB,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA
AF009,BWA,ZAF,Tuli Karoo Sub-Basin,TRUE,UB,UB,BL,BL,1,1,FALSE,FALSE,TRUE,TRUE,UB,BL,FALSE
AF009,BWA,ZWE,Tuli Karoo Sub-Basin,TRUE,IU1,IU1,BL,DA,1,0.22184016177854843,FALSE,TRUE,TRUE,TRUE,IU1,UB,FALSE
AF009,ZAF,ZWE,Tuli Karoo Sub-Basin,TRUE,IU1,IU1,BL,DA,1,0.9926407192498464,FALSE,TRUE,TRUE,TRUE,IU1,UB,FALSE
AF010,BWA,NAM,Northern Kalahari / Karoo Basin / Eiseb Graben Aquifer,FALSE,IU0,IU0,IU0,IU0,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA
AF012,BWA,ZWE,Eastern Kalahari Karoo Basin,FALSE,IU1,IU1,UB,UB,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA
AF013,AGO,NAM,Cuvelai and Etosha Basin / Ohangwena Aquifer System,FALSE,IU0,IU0,IU0,IU0,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA
AF014,AGO,NAM,Nata Karoo Sub-basin / Caprivi Lower Aquifer,TRUE,UB,UB,UB,UB,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA
AF014,AGO,ZMB,Nata Karoo Sub-basin / Caprivi Lower Aquifer,TRUE,UB,UB,UB,UB,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA
AF014,BWA,NAM,Nata Karoo Sub-basin / Caprivi Lower Aquifer,TRUE,UB,UB,UB,UB,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA
AF014,NAM,ZMB,Nata Karoo Sub-basin / Caprivi Lower Aquifer,TRUE,UB,UB,UB,UB,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA
AF016,ZMB,ZWE,Medium Zambesi Aquifer,FALSE,UB,UB,BL,BL,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA
AF017,MOZ,MWI,Shire colluvium aquifer,FALSE,UB,UB,UB,UB,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA
