published,corrected,n,scenario
IU0,IU0,85,current
IU1,IU0,12,current
UB,IU0,1,current
DA,IU0,0,current
BL,IU0,0,current
IU0,IU1,0,current
IU1,IU1,106,current
UB,IU1,9,current
DA,IU1,2,current
BL,IU1,1,current
IU0,UB,0,current
IU1,UB,0,current
UB,UB,197,current
DA,UB,4,current
BL,UB,0,current
IU0,DA,0,current
IU1,DA,0,current
UB,DA,0,current
DA,DA,107,current
BL,DA,5,current
IU0,BL,0,current
IU1,BL,0,current
UB,BL,0,current
DA,BL,0,current
BL,BL,39,current
IU0,IU0,70,future
IU1,IU0,12,future
UB,IU0,1,future
DA,IU0,0,future
BL,IU0,0,future
IU0,IU1,0,future
IU1,IU1,83,future
UB,IU1,6,future
DA,IU1,4,future
BL,IU1,1,future
IU0,UB,0,future
IU1,UB,0,future
UB,UB,92,future
DA,UB,2,future
BL,UB,2,future
IU0,DA,0,future
IU1,DA,0,future
UB,DA,0,future
DA,DA,198,future
BL,DA,10,future
IU0,BL,0,future
IU1,BL,0,future
UB,BL,0,future
DA,BL,0,future
BL,BL,87,future
