metric,class,n,mean,se,ci_low,ci_high,letters,boot_lo,boot_hi,kruskal_p
national relevance,IU0,19,0.02790150642433656,0.015043344270245566,-0.0037033871119560922,0.05950639996062921,ab,0.001539493560254109,0.05909545643378287,2.3355567492193366e-13
national relevance,IU1,65,0.04822673981568202,0.018197657838480406,0.011872739112622911,0.08458074051874112,b,0.020391277180466415,0.08814233552652703,2.3355567492193366e-13
national relevance,UB,138,0.05861228581654422,0.014586318850476485,0.029768843648933067,0.087455727984155393,b,0.034166423882765674,0.08729853344232659,2.3355567492193366e-13
national relevance,DA,124,0.1341370182011739,0.01892647451465321,0.09667322237443714,0.1716008140279107,a,0.10005068045156189,0.1731167726968951,2.3355567492193366e-13
national relevance,BL,40,0.060426973247107815,0.03106807252401993,-0.0024141349502708603,0.12326808144448649,ab,0.018479008734143428,0.12125950404050825,2.3355567492193366e-13
overdraft exposure,IU0,19,0.33801505345295885,0.0923999367500507,0.14388998981789938,0.5321401170880183,abc,0.19342742271727373,0.47588334903448365,9.01834890379917e-8
overdraft exposure,IU1,65,0.3554333174672037,0.05121313109787609,0.253123326782517,0.4577433081518903,b,0.2385387066457939,0.4688471648533246,9.01834890379917e-8
overdraft exposure,UB,140,0.1727212459671194,0.027280694115214443,0.11878246525388311,0.22666002668035568,c,0.11826518922946896,0.2325713729896882,9.01834890379917e-8
overdraft exposure,DA,125,0.3704768558748277,0.03593350869148107,0.299354376601932,0.4415993351477234,b,0.27662207568194386,0.458618754311567,9.01834890379917e-8
overdraft exposure,BL,40,0.6162289777346232,0.06514931186762062,0.48445205617334375,0.7480058992959026,a,0.46498319180308356,0.7433252309577906,9.01834890379917e-8
