"code","name","CC_1","CC_2","class","classF"
"AF001","Karoo Sedimentary Aquifer","LSO","ZAF","UB","BL"
"AF002","Coastal Sedimentary Basin V","NAM","ZAF","IU0","IU0"
"AF003","Coastal Sedimentary Basin VI","MOZ","ZAF","IU1","IU1"
"AF004","Rhyolite-Breccia Aquifer","MOZ","SWZ","UB","UB"
"AF004","Rhyolite-Breccia Aquifer","SWZ","ZAF","IU1","IU1"
"AF005","Stampriet Transboundary Aquifer System","BWA","NAM","IU0","IU0"
"AF005","Stampriet Transboundary Aquifer System","BWA","ZAF","IU0","IU0"
"AF005","Stampriet Transboundary Aquifer System","NAM","ZAF","IU0","IU0"
"AF006","Khakhea-Bray Dolomite Transboundary Aquifer","BWA","ZAF","IU1","IU1"
"AF007","Ramotswa","BWA","ZAF","UB","UB"
"AF009","Tuli Karoo Sub-Basin","BWA","ZAF","UB","BL"
"AF009","Tuli Karoo Sub-Basin","BWA","ZWE","IU1","BL"
"AF009","Tuli Karoo Sub-Basin","ZAF","ZWE","IU1","BL"
"AF010","Northern Kalahari / Karoo Basin / Eiseb Graben Aquifer","BWA","NAM","IU0","IU0"
"AF012","Eastern Kalahari Karoo Basin","BWA","ZWE","IU1","UB"
"AF013","Cuvelai and Etosha Basin / Ohangwena Aquifer System","AGO","NAM","IU0","IU0"
"AF014","Nata Karoo Sub-basin / Caprivi Lower Aquifer","AGO","NAM","UB","UB"
"AF014","Nata Karoo Sub-basin / Caprivi Lower Aquifer","AGO","ZMB","UB","UB"
"AF014","Nata Karoo Sub-basin / Caprivi Lower Aquifer","BWA","NAM","UB","UB"
"AF014","Nata Karoo Sub-basin / Caprivi Lower Aquifer","NAM","ZMB","UB","UB"
"AF016","Medium Zambesi Aquifer","ZMB","ZWE","UB","BL"
"AF017","Shire colluvium aquifer","MOZ","MWI","UB","UB"
"AF018","Arangua Alluvial","MOZ","ZMB","IU0","IU0"
"AF019","Bua River","MWI","ZMB","IU1","IU1"
"AF020","Coastal Sedimentary Basin III","MOZ","TZA","UB","DA"
"AF021","Karoo Sandstone Aquifer","MOZ","TZA","IU1","IU1"
"AF022","Kalahari/Katangian Basin","COD","ZMB","UB","UB"
"AF023","Congo Intra-cratonic Basin","AGO","COD","UB","UB"
"AF025","Karoo-Carbonate","CAF","COD","UB","UB"
"AF025","Karoo-Carbonate","CAF","SSD","UB","UB"
"AF025","Karoo-Carbonate","COD","SSD","UB","UB"
"AF026","Tanganyika","BDI","COD","UB","DA"
"AF026","Tanganyika","BDI","TZA","UB","DA"
"AF026","Tanganyika","COD","TZA","UB","DA"
"AF027","Aquífero da Dolomite Pré-cambriana do baixo Congo / Aquifère dolomitique précambrien","AGO","COD","UB","UB"
"AF027","Aquífero da Dolomite Pré-cambriana do baixo Congo / Aquifère dolomitique précambrien","COD","COG","IU1","IU1"
"AF029","Cuvette","COD","COG","UB","DA"
"AF031","Coastal Sedimentary Basin / Karoo Sedimetary Aquifer","KEN","TZA","UB","UB"
"AF032","Kilimanjaro Aquifer","KEN","TZA","UB","DA"
"AF033","Aquifère du Bassin de l?Ogooué","COG","GAB","IU1","IU1"
"AF034","Aquifère des plateaux","COG","GAB","IU1","IU1"
"AF036","Kagera Aquifer","BDI","RWA","IU1","IU1"
"AF036","Kagera Aquifer","RWA","TZA","UB","DA"
"AF036","Kagera Aquifer","RWA","UGA","UB","DA"
"AF036","Kagera Aquifer","TZA","UGA","UB","DA"
"AF038","Merti Aquifer","KEN","SOM","UB","UB"
"AF039","Mount Elgon Aquifer","KEN","UGA","UB","BL"
"AF040","Aquifère nord-ouest Sangha","COG","GAB","IU0","IU0"
"AF042","Rio del Rey","CMR","NGA","IU1","IU1"
"AF043","Dawa","ETH","KEN","UB","BL"
"AF043","Dawa","ETH","SOM","UB","BL"
"AF043","Dawa","KEN","SOM","UB","BL"
"AF044","Jubba","ETH","SOM","UB","UB"
"AF045","Shebelle / Shabelle","ETH","SOM","UB","DA"
"AF046","Sudd Basin","ETH","SDN","IU1","IU1"
"AF046","Sudd Basin","ETH","SSD","UB","DA"
"AF046","Sudd Basin","KEN","SSD","IU1","IU1"
"AF046","Sudd Basin","SDN","SSD","IU1","IU1"
"AF047","Bassin sédimentaire côtier / Tano Basin","CIV","GHA","UB","UB"
"AF048","Keta Basin, Coastal Sedimentary Basin / Bassin de Keta, Bassin Sédimentaire Côtier","BEN","NGA","UB","DA"
"AF048","Keta Basin, Coastal Sedimentary Basin / Bassin de Keta, Bassin Sédimentaire Côtier","BEN","TGO","UB","DA"
