segment,country,wells,share_10km,share_50km,share_100km,h1_excess_raw,h2_excess_raw,h1_excess_shrunken,h2_excess_shrunken,quadrant,rank_raw,rank_level_shrunken,rank_gradient_shrunken,boot_top10_level_freq,boot_top10_gradient_freq,n_family_specs,n_selected_in_family_specs,share_family_specs_fast_borderward,selected,selection_consistent,selection_n_criteria
Eastern Imperial and Amos and Oligby Valleys (USA),USA,30,0.8333333333333334,1,1,460.4053940827549,-0.4724285556016563,436.31054229938195,-0.31735865082034775,fast + borderward,1,1,7,1,0.6744186046511628,6,6,1,TRUE,TRUE,4
Mioplioquatenario de Elvas-Campo Maior and Vegas Baja Aquifers (ESP),ESP,30,0.13333333333333333,0.7666666666666667,1,-156.42229471770892,0.6871889540915884,104.94816033463157,0.3372629988006227,"fast, not borderward",2,23,6,0.5348837209302325,0.8449612403100775,6,6,0,TRUE,TRUE,2
Western Carrizo-Wilcox (USA),USA,433,0.0023094688221709007,0.04387990762124711,0.11085450346420324,244.71128996518817,-0.35337676679826746,340.1023696349068,-0.3425573780572452,fast + borderward,3,2,5,1,0.8372093023255814,6,6,1,TRUE,TRUE,4
Avra Valley (USA),USA,26,0.11538461538461539,0.38461538461538464,0.8076923076923077,-441.5018449642748,-0.4775989861374922,-251.97132261413043,-0.30465921617756375,"borderward, not fast",4,4,8,0.7209302325581395,0.8372093023255814,6,6,0,TRUE,TRUE,3
Southeastern Bengal Basin (BGD),BGD,27,0.18518518518518517,0.7407407407407407,1,-155.9907090257529,-0.5790442719782443,-160.03899523837785,-0.3665949253086883,"borderward, not fast",6,12,3,0.07142857142857142,0.9047619047619048,6,6,0,TRUE,TRUE,1
Valle de Juarez and Hueco Bolson (USA),USA,112,0.6071428571428571,0.9910714285714286,1,156.7586349099786,-0.07092818894484758,194.33788263938305,-0.07724605031438254,fast + borderward,7,5,28,0.9689922480620154,0,6,6,0.8333333333333334,TRUE,TRUE,3
Western Bengal Basin (IND),IND,119,0.025210084033613446,0.35294117647058826,0.865546218487395,146.68821757082762,-0.052332850788789756,183.62285732152623,-0.06077573069827995,fast + borderward,8,6,32,0.9411764705882353,0.007352941176470588,6,6,1,TRUE,TRUE,2
Yuma Basin (USA),USA,21,0.6190476190476191,1,1,-48.00999274950442,-0.5080876546400829,50.72073611954475,-0.29302783208812655,fast + borderward,9,36,9,0.06976744186046512,0.751937984496124,5,5,1,TRUE,TRUE,2
Rio Grande Delta (MEX),MEX,24,0.125,0.9166666666666666,1,-322.6750789769101,0.37062044635486546,-157.46522260790874,0.15896462444142212,neither,5,14,18,0.7086614173228346,0.44881889763779526,5,0,0,FALSE,FALSE,0
Sylhet Basin (BGD),BGD,21,0.047619047619047616,0.42857142857142855,1,-94.61750247818576,0.378929627765973,-99.22198301340278,0.14600226094187096,neither,10,24,19,0,0.25396825396825395,6,0,0,FALSE,FALSE,0
