code,name,CC_1,CC_2,class,classF,cooperation_level,has_river_border,dist_class,class_stage1,classF_stage1,class_stage2,classF_stage2,measured_stage2,changed_stage2,changed_stage3,changed_overall,near_share_stage1,near_share_stage2,audit_error_class,audit_tier,comment_stage2,comment_stage3
AF001,Karoo Sedimentary Aquifer,LSO,ZAF,DA,DA,0,TRUE,10-100km,UB,BL,UB,BL,False,False,True,True,0.5189,0.5189,C,1,,"stage 3 (UB->DA): audit class C, tier 1 -- groundwater irrigation absent from the whole polygon, contradicted by external sources; evidence on the LSO side"
AF002,Coastal Sedimentary Basin V,NAM,ZAF,UB,UB,0,TRUE,0-10km,IU0,IU0,IU0,IU0,False,False,True,True,1.0,1.0,B,1,,"stage 3 (IU0->UB): audit class B, tier 1 -- settlement above the urban-cluster floor, yet the urban layer reads zero across the whole polygon; target re-derived from the rule on the corrected frame; evidence on the NAM/ZAF side"
AF003,Coastal Sedimentary Basin VI,MOZ,ZAF,UB,UB,0,TRUE,10-100km,IU1,IU1,IU1,IU1,False,False,True,True,,,B,1,,"stage 3 (IU1->UB): audit class B, tier 1 -- settlement above the urban-cluster floor, yet the urban layer reads zero across the whole polygon; target re-derived from the rule on the corrected frame; evidence on the MOZ side"
AF004,Rhyolite-Breccia Aquifer,MOZ,SWZ,UB,UB,0,TRUE,10-100km,UB,UB,UB,UB,True,False,False,False,0.2295,0.0,,,,
AF004,Rhyolite-Breccia Aquifer,SWZ,ZAF,IU1,IU1,0,TRUE,0-10km,IU1,IU1,IU1,IU1,True,False,False,False,0.2295,0.1615,,,,
AF005,Stampriet Transboundary Aquifer System,BWA,NAM,IU1,IU1,2,FALSE,100+km,IU0,IU0,IU0,IU0,True,False,True,True,,,B,1,,"stage 3 (IU0->IU1): audit class B, tier 1 -- settlement above the urban-cluster floor, yet the urban layer reads zero across the whole polygon; evidence on the BWA/NAM side"
AF005,Stampriet Transboundary Aquifer System,BWA,ZAF,IU1,IU1,2,FALSE,100+km,IU0,IU0,IU0,IU0,True,False,True,True,,,B,1,,"stage 3 (IU0->IU1): audit class B, tier 1 -- settlement above the urban-cluster floor, yet the urban layer reads zero across the whole polygon; evidence on the BWA/ZAF side"
AF005,Stampriet Transboundary Aquifer System,NAM,ZAF,IU0,IU0,2,FALSE,100+km,IU0,IU0,IU0,IU0,True,False,False,False,,,,,,
AF006,Khakhea-Bray Dolomite Transboundary Aquifer,BWA,ZAF,IU1,IU1,2,FALSE,10-100km,IU1,IU1,IU1,IU1,False,False,False,False,,,,,,
AF007,Ramotswa,BWA,ZAF,UB,UB,2,TRUE,10-100km,UB,UB,UB,UB,False,False,False,False,,,,,,
AF009,Tuli Karoo Sub-Basin,BWA,ZAF,BL,BL,2,TRUE,10-100km,UB,BL,UB,BL,True,False,True,True,1.0,1.0,C,1,,"stage 3 (UB->BL): audit class C, tier 1 -- groundwater irrigation absent from the whole polygon, contradicted by external sources; evidence on the BWA side"
AF009,Tuli Karoo Sub-Basin,BWA,ZWE,UB,DA,2,TRUE,10-100km,IU1,BL,IU1,DA,True,True,True,True,1.0,0.2218,B,1,stage 2 (IU1->IU1): near-zone share 1.000 -> 0.222,"stage 3 (IU1->UB): audit class B, tier 1 -- settlement above the urban-cluster floor, yet the urban layer reads zero across the whole polygon; target re-derived from the rule on the corrected frame; future target re-inferred BL -> DA; evidence on the ZWE side"
AF009,Tuli Karoo Sub-Basin,ZAF,ZWE,UB,DA,2,TRUE,10-100km,IU1,BL,IU1,DA,True,True,True,True,1.0,0.9926,B,1,stage 2 (IU1->IU1): near-zone share 1.000 -> 0.993,"stage 3 (IU1->UB): audit class B, tier 1 -- settlement above the urban-cluster floor, yet the urban layer reads zero across the whole polygon; target re-derived from the rule on the corrected frame; future target re-inferred BL -> DA; evidence on the ZWE side"
AF010,Northern Kalahari / Karoo Basin / Eiseb Graben Aquifer,BWA,NAM,IU0,IU0,0,FALSE,10-100km,IU0,IU0,IU0,IU0,False,False,False,False,,,,,,
AF012,Eastern Kalahari Karoo Basin,BWA,ZWE,IU1,UB,1,FALSE,100+km,IU1,UB,IU1,UB,False,False,False,False,0.0,0.0,,,,
AF013,Cuvelai and Etosha Basin / Ohangwena Aquifer System,AGO,NAM,IU0,IU0,2,FALSE,10-100km,IU0,IU0,IU0,IU0,False,False,False,False,,,,,,
AF014,Nata Karoo Sub-basin / Caprivi Lower Aquifer,AGO,NAM,UB,UB,0,TRUE,100+km,UB,UB,UB,UB,True,False,False,False,,,,,,
AF014,Nata Karoo Sub-basin / Caprivi Lower Aquifer,AGO,ZMB,UB,UB,0,TRUE,100+km,UB,UB,UB,UB,True,False,False,False,0.9886,0.0,,,,
AF014,Nata Karoo Sub-basin / Caprivi Lower Aquifer,BWA,NAM,UB,UB,0,TRUE,10-100km,UB,UB,UB,UB,True,False,False,False,,,,,,
AF014,Nata Karoo Sub-basin / Caprivi Lower Aquifer,NAM,ZMB,UB,UB,0,TRUE,100+km,UB,UB,UB,UB,True,False,False,False,0.9886,0.9886,,,,
